Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2014.0,2016.1.xml,1.0,1.0,1.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,42.0,1.0,4.0,4.0,0.0,0.0
2014.0,4015.1.xml,1.0,1.0,2.0,1.0,13.0,1.0,1.0,1.0,1.0,9.0,0.0,24.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,38.0,1.0,2.0,2.0,0.0,0.0
2014.0,4016.1.xml,1.0,1.0,4.0,1.0,14.0,1.0,1.0,1.0,1.0,15.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,43.0,1.0,1.0,1.0,0.0,0.0
2014.0,4016.2.xml,1.0,1.0,4.0,1.0,14.0,1.0,1.0,1.0,1.0,15.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,43.0,1.0,1.0,1.0,0.0,0.0
2014.0,7019.1.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,35.0,1.0,5.0,5.0,0.0,0.0
2014.0,7020.1.xml,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,35.0,1.0,5.0,5.0,0.0,0.0
2014.0,76.1.xml,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0
2014.0,76.2.xml,1.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,20.0,1.0,1.0,1.0,0.0,0.0
2014.0,8001.1.xml,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0,2.0,2.0,0.0,0.0
2014.0,8002.1.xml,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,1.0,2.0,2.0,0.0,0.0
