XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,MCM_2014_EML,10,10,10,10.0
/eml:eml/@packageId,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/@scope,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/@system,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/@xsi:schemaLocation,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/access/@authSystem,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/access/@order,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/access/@scope,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/access/allow/permission,MCM_2014_EML,20,10,2.00,1.0
/eml:eml/access/allow/principal,MCM_2014_EML,20,10,2.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,MCM_2014_EML,4,4,0.40,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,MCM_2014_EML,7,4,0.70,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,MCM_2014_EML,5,4,0.50,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,MCM_2014_EML,13,4,1.30,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,MCM_2014_EML,5,4,0.50,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,MCM_2014_EML,7,4,0.70,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,MCM_2014_EML,5,4,0.50,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,MCM_2014_EML,7,4,0.70,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,MCM_2014_EML,6,4,0.60,0.4
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,MCM_2014_EML,13,5,1.30,0.5
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/abstract/section/para,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/abstract/section/para/literalLayout,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/additionalInfo/para/literalLayout,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/additionalInfo/section/para,MCM_2014_EML,7,3,0.70,0.3
/eml:eml/dataset/additionalInfo/section/para/literalLayout,MCM_2014_EML,15,9,1.50,0.9
/eml:eml/dataset/additionalInfo/section/title,MCM_2014_EML,20,9,2.00,0.9
/eml:eml/dataset/associatedParty/address/administrativeArea,MCM_2014_EML,14,2,1.40,0.2
/eml:eml/dataset/associatedParty/address/city,MCM_2014_EML,12,2,1.20,0.2
/eml:eml/dataset/associatedParty/address/country,MCM_2014_EML,15,2,1.50,0.2
/eml:eml/dataset/associatedParty/address/deliveryPoint,MCM_2014_EML,16,2,1.60,0.2
/eml:eml/dataset/associatedParty/address/postalCode,MCM_2014_EML,12,2,1.20,0.2
/eml:eml/dataset/associatedParty/electronicMailAddress,MCM_2014_EML,11,1,1.10,0.1
/eml:eml/dataset/associatedParty/individualName/givenName,MCM_2014_EML,60,9,6.00,0.9
/eml:eml/dataset/associatedParty/individualName/surName,MCM_2014_EML,60,9,6.00,0.9
/eml:eml/dataset/associatedParty/onlineUrl,MCM_2014_EML,9,1,0.90,0.1
/eml:eml/dataset/associatedParty/organizationName,MCM_2014_EML,6,3,0.60,0.3
/eml:eml/dataset/associatedParty/phone,MCM_2014_EML,8,1,0.80,0.1
/eml:eml/dataset/associatedParty/phone/@phonetype,MCM_2014_EML,8,1,0.80,0.1
/eml:eml/dataset/associatedParty/role,MCM_2014_EML,66,9,6.60,0.9
/eml:eml/dataset/contact/address/administrativeArea,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/contact/address/city,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/contact/address/country,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/contact/address/deliveryPoint,MCM_2014_EML,27,9,2.70,0.9
/eml:eml/dataset/contact/address/postalCode,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/contact/electronicMailAddress,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/contact/organizationName,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/dataset/contact/phone,MCM_2014_EML,18,9,1.80,0.9
/eml:eml/dataset/contact/phone/@phonetype,MCM_2014_EML,18,9,1.80,0.9
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,MCM_2014_EML,33,10,3.30,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,MCM_2014_EML,33,10,3.30,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,MCM_2014_EML,33,10,3.30,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,MCM_2014_EML,33,10,3.30,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,MCM_2014_EML,33,10,3.30,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,MCM_2014_EML,9,9,0.90,0.9
/eml:eml/dataset/creator/address/administrativeArea,MCM_2014_EML,20,10,2.00,1.0
/eml:eml/dataset/creator/address/city,MCM_2014_EML,20,10,2.00,1.0
/eml:eml/dataset/creator/address/country,MCM_2014_EML,20,10,2.00,1.0
/eml:eml/dataset/creator/address/deliveryPoint,MCM_2014_EML,48,10,4.80,1.0
/eml:eml/dataset/creator/address/postalCode,MCM_2014_EML,20,10,2.00,1.0
/eml:eml/dataset/creator/electronicMailAddress,MCM_2014_EML,20,10,2.00,1.0
/eml:eml/dataset/creator/individualName/givenName,MCM_2014_EML,22,10,2.20,1.0
/eml:eml/dataset/creator/individualName/surName,MCM_2014_EML,22,10,2.20,1.0
/eml:eml/dataset/creator/onlineUrl,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/creator/organizationName,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/creator/phone,MCM_2014_EML,19,9,1.90,0.9
/eml:eml/dataset/creator/phone/@phonetype,MCM_2014_EML,19,9,1.90,0.9
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,MCM_2014_EML,294,10,29.40,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,MCM_2014_EML,88,8,8.80,0.8
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,MCM_2014_EML,294,10,29.40,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,MCM_2014_EML,18,8,1.80,0.8
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,MCM_2014_EML,43,1,4.30,0.1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,MCM_2014_EML,43,1,4.30,0.1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,MCM_2014_EML,66,8,6.60,0.8
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,MCM_2014_EML,8,6,0.80,0.6
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,MCM_2014_EML,8,6,0.80,0.6
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,MCM_2014_EML,80,6,8.00,0.6
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,MCM_2014_EML,80,6,8.00,0.6
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,MCM_2014_EML,206,10,20.60,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,MCM_2014_EML,32,4,3.20,0.4
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,MCM_2014_EML,124,9,12.40,0.9
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,MCM_2014_EML,82,8,8.20,0.8
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,MCM_2014_EML,172,7,17.20,0.7
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,MCM_2014_EML,172,7,17.20,0.7
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,MCM_2014_EML,6,2,0.60,0.2
/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,MCM_2014_EML,196,9,19.60,0.9
/eml:eml/dataset/dataTable/entityDescription,MCM_2014_EML,19,8,1.90,0.8
/eml:eml/dataset/dataTable/entityName,MCM_2014_EML,24,10,2.40,1.0
/eml:eml/dataset/dataTable/methods/methodStep/description/para,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/dataTable/methods/methodStep/description/para/literalLayout,MCM_2014_EML,6,2,0.60,0.2
/eml:eml/dataset/dataTable/methods/methodStep/instrumentation,MCM_2014_EML,9,2,0.90,0.2
/eml:eml/dataset/dataTable/methods/sampling/samplingDescription/section/para,MCM_2014_EML,20,2,2.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/samplingDescription/section/title,MCM_2014_EML,20,2,2.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/geographicCoverage/geographicDescription,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/methods/sampling/studyExtent/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,MCM_2014_EML,24,10,2.40,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,MCM_2014_EML,20,9,2.00,0.9
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,MCM_2014_EML,24,10,2.40,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,MCM_2014_EML,20,9,2.00,0.9
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,MCM_2014_EML,24,10,2.40,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,MCM_2014_EML,20,9,2.00,0.9
/eml:eml/dataset/dataTable/physical/distribution/online/url,MCM_2014_EML,24,10,2.40,1.0
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,MCM_2014_EML,10,7,1.00,0.7
/eml:eml/dataset/dataTable/physical/objectName,MCM_2014_EML,24,10,2.40,1.0
/eml:eml/dataset/dataTable/physical/size,MCM_2014_EML,4,1,0.40,0.1
/eml:eml/dataset/distribution/online/connectionDefinition/description/para/itemizedlist/listitem/para/literalLayout,MCM_2014_EML,12,2,1.20,0.2
/eml:eml/dataset/distribution/online/connectionDefinition/description/para/literalLayout,MCM_2014_EML,6,2,0.60,0.2
/eml:eml/dataset/distribution/online/connectionDefinition/parameterDefinition/definition,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/distribution/online/connectionDefinition/parameterDefinition/name,MCM_2014_EML,10,2,1.00,0.2
/eml:eml/dataset/distribution/online/connectionDefinition/schemeName,MCM_2014_EML,2,2,0.20,0.2
/eml:eml/dataset/distribution/online/url,MCM_2014_EML,3,3,0.30,0.3
/eml:eml/dataset/distribution/online/url/@function,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/intellectualRights/section/para/itemizedlist/listitem/para/literalLayout,MCM_2014_EML,36,9,3.60,0.9
/eml:eml/dataset/intellectualRights/section/para/literalLayout,MCM_2014_EML,1,1,0.10,0.1
/eml:eml/dataset/intellectualRights/section/title,MCM_2014_EML,10,10,1.00,1.0
/eml:eml/dataset/keywordSet/keyword,MCM_2014_EML,92,9,9.20,0.9
/eml:eml/dataset/keywordSet/keyword/@keywordType,MCM_2014_EML,92,9,9.20,0.9
/eml:eml/dataset/language,MCM_2014_EML,3,3,0.30,0.3
