XPath,9031.2.xml
/eml:eml/@packageId,1
/eml:eml/@system,1
/eml:eml/@xsi:schemaLocation,1
/eml:eml/access,5
/eml:eml/access/@authSystem,1
/eml:eml/access/@order,1
/eml:eml/access/@scope,1
/eml:eml/access/@system,1
/eml:eml/access/allow/permission,2
/eml:eml/access/allow/principal,2
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,1
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,3
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,1
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,1
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,1
/eml:eml/dataset/abstract,1
/eml:eml/dataset/abstract/section/para/literalLayout,1
/eml:eml/dataset/alternateIdentifier,1
/eml:eml/dataset/alternateIdentifier/@system,1
/eml:eml/dataset/associatedParty,5
/eml:eml/dataset/associatedParty/address/administrativeArea,1
/eml:eml/dataset/associatedParty/address/city,2
/eml:eml/dataset/associatedParty/address/country,1
/eml:eml/dataset/associatedParty/address/deliveryPoint,2
/eml:eml/dataset/associatedParty/address/postalCode,1
/eml:eml/dataset/associatedParty/electronicMailAddress,4
/eml:eml/dataset/associatedParty/individualName/givenName,5
/eml:eml/dataset/associatedParty/individualName/surName,5
/eml:eml/dataset/associatedParty/organizationName,4
/eml:eml/dataset/associatedParty/phone,2
/eml:eml/dataset/associatedParty/phone/@phonetype,2
/eml:eml/dataset/associatedParty/role,2
/eml:eml/dataset/contact,1
/eml:eml/dataset/contact/onlineUrl,1
/eml:eml/dataset/contact/organizationName,1
/eml:eml/dataset/coverage/temporalCoverage,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1
/eml:eml/dataset/creator,2
/eml:eml/dataset/creator/electronicMailAddress,2
/eml:eml/dataset/creator/individualName/givenName,1
/eml:eml/dataset/creator/individualName/surName,1
/eml:eml/dataset/creator/organizationName,2
/eml:eml/dataset/dataTable/attributeList,1
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,15
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,15
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,15
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,2
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,8
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,3
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,1
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,1
/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,1
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,2
/eml:eml/dataset/dataTable/entityName,1
/eml:eml/dataset/dataTable/physical/dataFormat,2
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,1
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,1
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,1
/eml:eml/dataset/dataTable/physical/distribution/online/url,1
/eml:eml/dataset/dataTable/physical/objectName,1
/eml:eml/dataset/dataTable/physical/size,1
/eml:eml/dataset/distribution,1
/eml:eml/dataset/distribution/online/url,1
/eml:eml/dataset/distribution/online/url/@function,1
/eml:eml/dataset/intellectualRights,2
/eml:eml/dataset/intellectualRights/section/para/literalLayout,1
/eml:eml/dataset/intellectualRights/section/title,1
/eml:eml/dataset/keywordSet/keyword,17
/eml:eml/dataset/keywordSet/keywordThesaurus,3
/eml:eml/dataset/language,1
/eml:eml/dataset/metadataProvider,1
/eml:eml/dataset/metadataProvider/onlineUrl,1
/eml:eml/dataset/metadataProvider/organizationName,1
/eml:eml/dataset/methods,2
/eml:eml/dataset/methods/methodStep/description/section/para/literalLayout,1
/eml:eml/dataset/pubDate,2
/eml:eml/dataset/pubPlace,1
/eml:eml/dataset/publisher,1
/eml:eml/dataset/publisher/onlineUrl,1
/eml:eml/dataset/publisher/organizationName,1
/eml:eml/dataset/shortName,1
/eml:eml/dataset/title,2
