Concept,MCM_2006_EML,MCM_2007_EML,MCM_2008_EML,MCM_2009_EML,MCM_2010_EML,MCM_2012_EML,MCM_2013_EML,MCM_2014_EML,MCM_2015_EML,MCM_2016_EML,MCM_2017_EML,MCM_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.1,1.33,1.44,1.75,2.0,1.0,1.0,2.2,1.16,1.67,2.44,1.0
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
Contributor Name,0.91,0.0,0.33,0.0,0.0,3.18,2.71,6.6,0.6,3.19,5.78,5.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
Publication Date,0.21,0.5,0.11,0.0,1.0,0.36,0.71,0.6,0.11,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.99,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,7.56,8.5,8.78,7.38,11.0,8.73,8.43,9.2,7.94,14.52,8.89,23.0
Resource Distribution,0.98,0.83,1.0,0.88,0.0,1.0,1.0,0.5,0.95,1.0,1.0,1.0
Spatial Extent,1.01,1.0,1.0,1.0,1.0,1.0,1.0,3.3,1.23,3.94,2.78,0.0
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Temporal Extent,0.99,1.0,1.0,0.75,1.0,1.0,1.0,0.9,0.98,1.0,1.0,1.0
Maintenance,0.94,1.0,1.0,0.75,1.0,1.0,0.43,0.8,0.87,0.91,0.33,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.98,1.0,1.0,1.0,1.0,1.0,0.86,1.0,0.98,0.99,1.0,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.21,0.33,0.11,0.0,0.0,0.82,0.29,1.9,0.04,2.79,2.11,0.0
Attribute Definition,17.8,25.0,13.78,21.88,35.5,25.45,11.71,29.4,17.88,33.11,22.11,15.0
Resource Access Constraints,0.72,0.67,0.67,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.88,1.0,1.0,1.0,1.0,3.82,1.0,2.4,1.65,2.98,2.22,1.0
Attribute List,1.88,1.0,1.0,1.0,1.0,3.82,1.0,2.4,1.65,2.98,2.22,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
