XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,MCR_2006_EML,8,8,8,8.0
/eml:eml/@packageId,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/@scope,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/@system,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/@xsi:schemaLocation,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/access/@authSystem,MCR_2006_EML,6,6,0.75,0.75
/eml:eml/access/@order,MCR_2006_EML,6,6,0.75,0.75
/eml:eml/access/@scope,MCR_2006_EML,5,5,0.62,0.625
/eml:eml/access/allow/permission,MCR_2006_EML,13,6,1.62,0.75
/eml:eml/access/allow/principal,MCR_2006_EML,13,6,1.62,0.75
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,MCR_2006_EML,3,1,0.38,0.125
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,MCR_2006_EML,1,1,0.12,0.125
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,MCR_2006_EML,4,1,0.50,0.125
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,MCR_2006_EML,3,1,0.38,0.125
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,MCR_2006_EML,4,1,0.50,0.125
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,MCR_2006_EML,3,1,0.38,0.125
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,MCR_2006_EML,3,1,0.38,0.125
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,MCR_2006_EML,4,1,0.50,0.125
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/additionalMetadata/metadata/unitList/unit/description,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/dataset/@id,MCR_2006_EML,1,1,0.12,0.125
/eml:eml/dataset/@scope,MCR_2006_EML,7,7,0.88,0.875
/eml:eml/dataset/abstract/para,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/access/@authSystem,MCR_2006_EML,2,2,0.25,0.25
/eml:eml/dataset/access/@order,MCR_2006_EML,2,2,0.25,0.25
/eml:eml/dataset/access/@scope,MCR_2006_EML,2,2,0.25,0.25
/eml:eml/dataset/access/allow/permission,MCR_2006_EML,6,2,0.75,0.25
/eml:eml/dataset/access/allow/principal,MCR_2006_EML,6,2,0.75,0.25
/eml:eml/dataset/alternateIdentifier,MCR_2006_EML,1,1,0.12,0.125
/eml:eml/dataset/contact/@id,MCR_2006_EML,7,7,0.88,0.875
/eml:eml/dataset/contact/@scope,MCR_2006_EML,7,7,0.88,0.875
/eml:eml/dataset/contact/address/@scope,MCR_2006_EML,7,7,0.88,0.875
/eml:eml/dataset/contact/address/administrativeArea,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/address/city,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/address/country,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,MCR_2006_EML,16,8,2.00,1.0
/eml:eml/dataset/contact/address/postalCode,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/electronicMailAddress,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/individualName/givenName,MCR_2006_EML,2,2,0.25,0.25
/eml:eml/dataset/contact/individualName/surName,MCR_2006_EML,2,2,0.25,0.25
/eml:eml/dataset/contact/onlineUrl,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/organizationName,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/phone,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/phone/@phonetype,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/contact/positionName,MCR_2006_EML,8,8,1.00,1.0
/eml:eml/dataset/coverage/@scope,MCR_2006_EML,3,3,0.38,0.375
/eml:eml/dataset/coverage/geographicCoverage/@id,MCR_2006_EML,9,4,1.12,0.5
/eml:eml/dataset/coverage/geographicCoverage/@scope,MCR_2006_EML,7,3,0.88,0.375
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,MCR_2006_EML,9,4,1.12,0.5
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,MCR_2006_EML,9,4,1.12,0.5
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,MCR_2006_EML,9,4,1.12,0.5
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,MCR_2006_EML,9,4,1.12,0.5
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,MCR_2006_EML,9,4,1.12,0.5
/eml:eml/dataset/coverage/temporalCoverage/@id,MCR_2006_EML,5,3,0.62,0.375
/eml:eml/dataset/coverage/temporalCoverage/@scope,MCR_2006_EML,5,3,0.62,0.375
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,MCR_2006_EML,6,4,0.75,0.5
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,MCR_2006_EML,6,4,0.75,0.5
/eml:eml/dataset/creator/@id,MCR_2006_EML,16,8,2.00,1.0
/eml:eml/dataset/creator/@scope,MCR_2006_EML,14,7,1.75,0.875
/eml:eml/dataset/creator/address/@scope,MCR_2006_EML,14,7,1.75,0.875
/eml:eml/dataset/creator/address/administrativeArea,MCR_2006_EML,16,8,2.00,1.0
/eml:eml/dataset/creator/address/city,MCR_2006_EML,16,8,2.00,1.0
/eml:eml/dataset/creator/address/country,MCR_2006_EML,16,8,2.00,1.0
