Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2007_EML,251,251,1.00,100.00%
Abstract,2007_EML,207,207,0.82,82.47%
Attribute Constraints,2007_EML,51,37,0.20,14.74%
Attribute Definition,2007_EML,6297,181,25.09,72.11%
Attribute List,2007_EML,389,181,1.55,72.11%
Author,2007_EML,453,207,1.80,82.47%
Author / Originator,2007_EML,453,207,1.80,82.47%
Author / Originator Email Address,2007_EML,387,207,1.54,82.47%
Author / Originator Identifier,2007_EML,453,207,1.80,82.47%
Author / Originator World Wide Web Address,2007_EML,246,207,0.98,82.47%
Bounding Box,2007_EML,472,207,1.88,82.47%
Contributor Name,2007_EML,338,174,1.35,69.32%
Contributor Role,2007_EML,309,174,1.23,69.32%
Distribution Format,2007_EML,247,181,0.98,72.11%
Easternmost Longitude,2007_EML,472,207,1.88,82.47%
End Time,2007_EML,207,207,0.82,82.47%
Entity Type Definition,2007_EML,447,180,1.78,71.71%
Entity and Attribute Information,2007_EML,447,180,1.78,71.71%
Instrument,2007_EML,4,4,0.02,1.59%
Keyword,2007_EML,4797,207,19.11,82.47%
Keyword Type,2007_EML,401,184,1.60,73.31%
Keyword Vocabulary,2007_EML,950,180,3.78,71.71%
Maintenance,2007_EML,170,170,0.68,67.73%
Metadata Access Constraints,2007_EML,207,207,0.82,82.47%
Metadata Modified Date,2007_EML,190,65,0.76,25.90%
Metadata Use Constraints,2007_EML,207,207,0.82,82.47%
Northernmost Latitude,2007_EML,472,207,1.88,82.47%
Organization Name,2007_EML,503,207,2.00,82.47%
Originating Organization,2007_EML,207,207,0.82,82.47%
Place Keyword,2007_EML,568,182,2.26,72.51%
Process Step,2007_EML,202,202,0.80,80.48%
Project Description,2007_EML,207,207,0.82,82.47%
Project Name,2007_EML,246,207,0.98,82.47%
Publication Date,2007_EML,124,124,0.49,49.40%
Publisher,2007_EML,45,45,0.18,17.93%
Related Resource Citation,2007_EML,207,207,0.82,82.47%
Resource Access Constraints,2007_EML,207,207,0.82,82.47%
Resource Contact,2007_EML,207,207,0.82,82.47%
Resource Creation/Revision Date,2007_EML,314,136,1.25,54.18%
Resource Distribution,2007_EML,81,81,0.32,32.27%
Resource Format,2007_EML,247,181,0.98,72.11%
Resource Identifier,2007_EML,207,207,0.82,82.47%
Resource Identifier Type,2007_EML,207,207,0.82,82.47%
Resource Language,2007_EML,50,50,0.20,19.92%
Resource Lineage,2007_EML,202,202,0.80,80.48%
Resource Long Name,2007_EML,207,207,0.82,82.47%
Resource Quality Description,2007_EML,54,49,0.22,19.52%
Resource Revision Date,2007_EML,190,65,0.76,25.90%
Resource Status,2007_EML,207,207,0.82,82.47%
Resource Title,2007_EML,207,207,0.82,82.47%
Resource Update Frequency,2007_EML,40,40,0.16,15.94%
Resource Use Constraints,2007_EML,207,207,0.82,82.47%
Resource on-line Link,2007_EML,74,74,0.29,29.48%
Responsible Party Identifier,2007_EML,335,174,1.33,69.32%
Rights,2007_EML,207,207,0.82,82.47%
Security Constraints,2007_EML,207,207,0.82,82.47%
Southernmost Latitude,2007_EML,472,207,1.88,82.47%
Spatial Extent,2007_EML,472,207,1.88,82.47%
Start Time,2007_EML,207,207,0.82,82.47%
Taxonomic Extent,2007_EML,106,106,0.42,42.23%
Temporal Extent,2007_EML,207,207,0.82,82.47%
Unknown,2007_EML,98037,251,390.59,100.00%
Vertical Maximum,2007_EML,8,8,0.03,3.19%
Vertical Minimum,2007_EML,41,8,0.16,3.19%
Vertical Resolution,2007_EML,8,8,0.03,3.19%
Westernmost Longitude,2007_EML,472,207,1.88,82.47%
