Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2016.0,1.22.xml,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,2.0,0.0,0.0
2016.0,10.33.xml,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,1.0,53.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,61.0,1.0,2.0,2.0,1.0,0.0
2016.0,10.34.xml,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,1.0,55.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,61.0,1.0,2.0,2.0,1.0,0.0
2016.0,1034.8.xml,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,23.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,0.0
2016.0,1036.6.xml,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,18.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0
2016.0,1037.5.xml,1.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,46.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,1.0,0.0
2016.0,1038.5.xml,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,28.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,1.0,2.0,2.0,2.0,0.0
2016.0,1038.6.xml,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,28.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0,1.0,2.0,2.0,2.0,0.0
2016.0,1039.5.xml,1.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,29.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0
2016.0,1039.6.xml,1.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,29.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0
2016.0,1039.7.xml,1.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,29.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0
2016.0,1041.2.xml,1.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,44.0,1.0,7.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0
2016.0,12.16.xml,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,35.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,0.0
2016.0,13.16.xml,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,43.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,1.0,0.0
2016.0,15.12.xml,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0
2016.0,16.12.xml,1.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,27.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0
2016.0,17.16.xml,1.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,27.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,19.0,1.0,4.0,4.0,0.0,0.0
2016.0,18.14.xml,1.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,19.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,0.0,0.0
2016.0,2001.5.xml,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,392.0,1.0,4.0,4.0,0.0,0.0
2016.0,21.17.xml,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,36.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,0.0
2016.0,30.30.xml,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,19.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,343.0,1.0,5.0,5.0,0.0,1.0
2016.0,30.31.xml,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,343.0,1.0,5.0,5.0,0.0,1.0
2016.0,31.34.xml,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,19.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,343.0,1.0,5.0,5.0,0.0,1.0
2016.0,31.35.xml,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,19.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,343.0,1.0,5.0,5.0,0.0,1.0
