XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2016_EML,48,48,1.00,100.00%
/eml:eml/@packageId,2016_EML,48,48,1.00,100.00%
/eml:eml/@scope,2016_EML,48,48,1.00,100.00%
/eml:eml/@system,2016_EML,48,48,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2016_EML,48,48,1.00,100.00%
/eml:eml/access,2016_EML,240,48,5.00,100.00%
/eml:eml/access/@authSystem,2016_EML,48,48,1.00,100.00%
/eml:eml/access/@order,2016_EML,48,48,1.00,100.00%
/eml:eml/access/@scope,2016_EML,20,20,0.42,41.67%
/eml:eml/access/@system,2016_EML,48,48,1.00,100.00%
/eml:eml/access/allow/permission,2016_EML,96,48,2.00,100.00%
/eml:eml/access/allow/principal,2016_EML,96,48,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2016_EML,123,19,2.56,39.58%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2016_EML,31,15,0.65,31.25%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2016_EML,194,28,4.04,58.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2016_EML,64,20,1.33,41.67%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2016_EML,194,28,4.04,58.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2016_EML,90,18,1.88,37.50%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2016_EML,139,28,2.90,58.33%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2016_EML,194,28,4.04,58.33%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@abbreviation,2016_EML,5,2,0.10,4.17%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@constantToSI,2016_EML,2,2,0.04,4.17%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@id,2016_EML,6,2,0.12,4.17%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@multiplierToSI,2016_EML,2,2,0.04,4.17%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@name,2016_EML,6,2,0.12,4.17%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@parentSI,2016_EML,3,2,0.06,4.17%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/@unitType,2016_EML,5,2,0.10,4.17%
/eml:eml/additionalMetadata/metadata/unitList/stmml:unit/stmml:description,2016_EML,6,2,0.12,4.17%
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,2016_EML,22,7,0.46,14.58%
/eml:eml/additionalMetadata/metadata/unitList/unit/@constantToSI,2016_EML,4,4,0.08,8.33%
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,2016_EML,31,9,0.65,18.75%
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,2016_EML,10,6,0.21,12.50%
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,2016_EML,11,6,0.23,12.50%
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,2016_EML,31,9,0.65,18.75%
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,2016_EML,20,9,0.42,18.75%
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,2016_EML,25,9,0.52,18.75%
/eml:eml/additionalMetadata/metadata/unitList/unit/description,2016_EML,31,9,0.65,18.75%
/eml:eml/dataset/@id,2016_EML,27,27,0.56,56.25%
/eml:eml/dataset/@scope,2016_EML,20,20,0.42,41.67%
/eml:eml/dataset/abstract,2016_EML,48,48,1.00,100.00%
/eml:eml/dataset/abstract/para,2016_EML,62,44,1.29,91.67%
/eml:eml/dataset/abstract/para/emphasis,2016_EML,3,3,0.06,6.25%
/eml:eml/dataset/abstract/para/ulink,2016_EML,9,8,0.19,16.67%
/eml:eml/dataset/abstract/para/ulink/@url,2016_EML,9,8,0.19,16.67%
/eml:eml/dataset/abstract/section/para,2016_EML,5,4,0.10,8.33%
/eml:eml/dataset/abstract/section/para/emphasis,2016_EML,7,3,0.15,6.25%
/eml:eml/dataset/abstract/section/para/subscript,2016_EML,5,3,0.10,6.25%
/eml:eml/dataset/abstract/section/para/superscript,2016_EML,6,2,0.12,4.17%
/eml:eml/dataset/abstract/section/para/ulink,2016_EML,3,3,0.06,6.25%
/eml:eml/dataset/abstract/section/para/ulink/@url,2016_EML,3,3,0.06,6.25%
/eml:eml/dataset/abstract/section/title,2016_EML,3,3,0.06,6.25%
/eml:eml/dataset/additionalInfo,2016_EML,2,2,0.04,4.17%
/eml:eml/dataset/additionalInfo/para,2016_EML,2,2,0.04,4.17%
/eml:eml/dataset/alternateIdentifier,2016_EML,31,30,0.65,62.50%
/eml:eml/dataset/alternateIdentifier/@system,2016_EML,1,1,0.02,2.08%
/eml:eml/dataset/associatedParty,2016_EML,94,40,1.96,83.33%
/eml:eml/dataset/associatedParty/@id,2016_EML,91,37,1.90,77.08%
/eml:eml/dataset/associatedParty/@scope,2016_EML,12,12,0.25,25.00%
/eml:eml/dataset/associatedParty/address/@scope,2016_EML,15,15,0.31,31.25%
/eml:eml/dataset/associatedParty/address/administrativeArea,2016_EML,40,40,0.83,83.33%
/eml:eml/dataset/associatedParty/address/city,2016_EML,49,40,1.02,83.33%
/eml:eml/dataset/associatedParty/address/country,2016_EML,42,40,0.88,83.33%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2016_EML,115,40,2.40,83.33%
/eml:eml/dataset/associatedParty/address/postalCode,2016_EML,50,40,1.04,83.33%
/eml:eml/dataset/associatedParty/electronicMailAddress,2016_EML,53,34,1.10,70.83%
/eml:eml/dataset/associatedParty/individualName/givenName,2016_EML,91,37,1.90,77.08%
/eml:eml/dataset/associatedParty/individualName/surName,2016_EML,91,37,1.90,77.08%
/eml:eml/dataset/associatedParty/onlineUrl,2016_EML,16,14,0.33,29.17%
/eml:eml/dataset/associatedParty/organizationName,2016_EML,44,40,0.92,83.33%
/eml:eml/dataset/associatedParty/phone,2016_EML,38,22,0.79,45.83%
/eml:eml/dataset/associatedParty/phone/@phonetype,2016_EML,33,22,0.69,45.83%
/eml:eml/dataset/associatedParty/positionName,2016_EML,76,33,1.58,68.75%
/eml:eml/dataset/associatedParty/role,2016_EML,85,40,1.77,83.33%
/eml:eml/dataset/contact,2016_EML,97,48,2.02,100.00%
/eml:eml/dataset/contact/@id,2016_EML,21,21,0.44,43.75%
/eml:eml/dataset/contact/@scope,2016_EML,20,20,0.42,41.67%
/eml:eml/dataset/contact/@system,2016_EML,9,9,0.19,18.75%
/eml:eml/dataset/contact/address/@scope,2016_EML,20,20,0.42,41.67%
/eml:eml/dataset/contact/address/administrativeArea,2016_EML,97,48,2.02,100.00%
/eml:eml/dataset/contact/address/city,2016_EML,97,48,2.02,100.00%
/eml:eml/dataset/contact/address/country,2016_EML,57,48,1.19,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2016_EML,200,48,4.17,100.00%
/eml:eml/dataset/contact/address/postalCode,2016_EML,97,48,2.02,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2016_EML,97,48,2.02,100.00%
/eml:eml/dataset/contact/onlineUrl,2016_EML,97,48,2.02,100.00%
/eml:eml/dataset/contact/organizationName,2016_EML,88,48,1.83,100.00%
/eml:eml/dataset/contact/phone,2016_EML,146,48,3.04,100.00%
/eml:eml/dataset/contact/phone/@phonetype,2016_EML,94,48,1.96,100.00%
/eml:eml/dataset/contact/positionName,2016_EML,60,48,1.25,100.00%
/eml:eml/dataset/coverage/@scope,2016_EML,20,20,0.42,41.67%
/eml:eml/dataset/coverage/geographicCoverage,2016_EML,177,48,3.69,100.00%
