XPath,4009.2.xml,5019.1.xml,5022.1.xml,5022.9.xml,5023.1.xml,5023.2.xml,5024.10.xml,5025.10.xml,6.55.xml
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
/eml:eml/access/@authSystem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/access/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/allow/permission,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0
/eml:eml/dataset/@id,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0
/eml:eml/dataset/abstract/para/emphasis,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/abstract/para/subscript,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/additionalInfo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
/eml:eml/dataset/additionalInfo/para,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
/eml:eml/dataset/alternateIdentifier,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/alternateIdentifier/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/associatedParty,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
/eml:eml/dataset/associatedParty/@id,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
