Concept,MCR_2006_EML,MCR_2007_EML,MCR_2010_EML,MCR_2011_EML,MCR_2012_EML,MCR_2013_EML,MCR_2014_EML,MCR_2015_EML,MCR_2016_EML,MCR_2017_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.0,0.0,0.0,0.0,0.054054054054054064,0.4,0.0,0.12121212121212124,0.0,0.0
Contributor Name,0.0,0.8366533864541833,0.0,1.0,0.7837837837837838,1.0,0.6666666666666666,0.9393939393939394,0.8333333333333334,0.3333333333333333
Publisher,0.125,0.17928286852589642,0.6666666666666666,0.2916666666666667,0.972972972972973,0.8,1.0,0.8787878787878788,0.875,1.0
Publication Date,0.375,0.4940239043824701,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,0.125,0.32270916334661354,0.3333333333333333,0.4166666666666667,0.1891891891891892,0.8,0.8888888888888888,0.9090909090909092,0.6666666666666666,1.0
Spatial Extent,0.5,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,0.9696969696969696,1.0,1.0
Taxonomic Extent,0.0,0.5059760956175299,1.0,0.375,0.5135135135135135,0.2,1.0,0.5757575757575758,0.5,1.0
Temporal Extent,0.5,0.99601593625498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Maintenance,0.875,0.8087649402390438,0.6666666666666666,1.0,0.945945945945946,1.0,0.5555555555555556,0.7575757575757576,0.9375,0.4444444444444444
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.5,0.9402390438247012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Project Description,1.0,1.0,1.0,1.0,0.972972972972973,0.7,1.0,0.9696969696969696,1.0,1.0
Entity Type Definition,1.0,0.8087649402390438,1.0,1.0,0.8918918918918919,1.0,0.8888888888888888,0.9696969696969696,0.8958333333333334,0.7777777777777778
Attribute Definition,1.0,0.8286852589641435,1.0,1.0,0.8918918918918919,1.0,0.8888888888888888,0.9696969696969696,0.8958333333333334,0.7777777777777778
Resource Access Constraints,0.75,0.8247011952191236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,0.8286852589641435,1.0,1.0,0.8918918918918919,1.0,0.8888888888888888,0.9696969696969696,0.8958333333333334,0.7777777777777778
Attribute List,1.0,0.8286852589641435,1.0,1.0,0.8918918918918919,1.0,0.8888888888888888,0.9696969696969696,0.8958333333333334,0.7777777777777778
Attribute Constraints,0.0,0.14741035856573706,0.0,0.7083333333333334,0.4864864864864865,0.4,0.1111111111111111,0.3939393939393939,0.4583333333333333,0.1111111111111111
Resource Quality Description,0.0,0.1952191235059761,0.0,0.16666666666666666,0.0,0.0,0.0,0.2727272727272727,0.2083333333333333,0.0
