XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,NTL_2005_EML,190,190,190,190.0
/eml:eml/@packageId,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/@scope,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/@system,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/@xsi:schemaLocation,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/access/@authSystem,NTL_2005_EML,98,98,0.52,0.5157894736842106
/eml:eml/access/@order,NTL_2005_EML,98,98,0.52,0.5157894736842106
/eml:eml/access/@scope,NTL_2005_EML,98,98,0.52,0.5157894736842106
/eml:eml/access/allow/permission,NTL_2005_EML,196,98,1.03,0.5157894736842106
/eml:eml/access/allow/principal,NTL_2005_EML,196,98,1.03,0.5157894736842106
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,NTL_2005_EML,42,42,0.22,0.22105263157894736
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,NTL_2005_EML,91,36,0.48,0.18947368421052632
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,NTL_2005_EML,56,26,0.29,0.1368421052631579
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,NTL_2005_EML,104,42,0.55,0.22105263157894736
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,NTL_2005_EML,56,26,0.29,0.1368421052631579
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,NTL_2005_EML,91,36,0.48,0.18947368421052632
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,NTL_2005_EML,56,26,0.29,0.1368421052631579
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,NTL_2005_EML,91,36,0.48,0.18947368421052632
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,NTL_2005_EML,74,26,0.39,0.1368421052631579
/eml:eml/additionalMetadata/stmml:unitList/@convention,NTL_2005_EML,55,32,0.29,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/@xsi:schemaLocation,NTL_2005_EML,55,32,0.29,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@abbreviation,NTL_2005_EML,53,30,0.28,0.15789473684210525
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@constantToSI,NTL_2005_EML,56,32,0.29,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@id,NTL_2005_EML,56,32,0.29,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@multiplierToSI,NTL_2005_EML,56,32,0.29,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@name,NTL_2005_EML,56,32,0.29,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@parentSI,NTL_2005_EML,39,28,0.21,0.14736842105263157
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@unitType,NTL_2005_EML,53,32,0.28,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/stmml:description,NTL_2005_EML,56,32,0.29,0.16842105263157894
/eml:eml/additionalMetadata/stmml:unitList/stmml:unitType/@id,NTL_2005_EML,23,16,0.12,0.08421052631578947
/eml:eml/additionalMetadata/stmml:unitList/stmml:unitType/@name,NTL_2005_EML,23,16,0.12,0.08421052631578947
/eml:eml/additionalMetadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,NTL_2005_EML,69,16,0.36,0.08421052631578947
/eml:eml/additionalMetadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,NTL_2005_EML,69,16,0.36,0.08421052631578947
/eml:eml/dataset/@id,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/@scope,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/abstract/para,NTL_2005_EML,98,98,0.52,0.5157894736842106
/eml:eml/dataset/abstract/section/para,NTL_2005_EML,295,92,1.55,0.4842105263157895
/eml:eml/dataset/access/@authSystem,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/access/@order,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/access/@scope,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/access/allow/permission,NTL_2005_EML,184,92,0.97,0.4842105263157895
/eml:eml/dataset/access/allow/principal,NTL_2005_EML,184,92,0.97,0.4842105263157895
/eml:eml/dataset/alternateIdentifier,NTL_2005_EML,98,98,0.52,0.5157894736842106
/eml:eml/dataset/alternateIdentifier/@system,NTL_2005_EML,98,98,0.52,0.5157894736842106
/eml:eml/dataset/contact/@id,NTL_2005_EML,94,89,0.49,0.46842105263157896
/eml:eml/dataset/contact/@scope,NTL_2005_EML,183,92,0.96,0.4842105263157895
/eml:eml/dataset/contact/address/@scope,NTL_2005_EML,94,89,0.49,0.46842105263157896
/eml:eml/dataset/contact/address/administrativeArea,NTL_2005_EML,282,187,1.48,0.9842105263157894
/eml:eml/dataset/contact/address/city,NTL_2005_EML,282,187,1.48,0.9842105263157894
/eml:eml/dataset/contact/address/country,NTL_2005_EML,282,187,1.48,0.9842105263157894
/eml:eml/dataset/contact/address/deliveryPoint,NTL_2005_EML,376,187,1.98,0.9842105263157894
/eml:eml/dataset/contact/address/postalCode,NTL_2005_EML,282,187,1.48,0.9842105263157894
/eml:eml/dataset/contact/electronicMailAddress,NTL_2005_EML,282,187,1.48,0.9842105263157894
/eml:eml/dataset/contact/individualName/givenName,NTL_2005_EML,7,7,0.04,0.03684210526315789
/eml:eml/dataset/contact/individualName/surName,NTL_2005_EML,7,7,0.04,0.03684210526315789
/eml:eml/dataset/contact/organizationName,NTL_2005_EML,188,98,0.99,0.5157894736842106
/eml:eml/dataset/contact/phone,NTL_2005_EML,190,91,1.00,0.4789473684210526
/eml:eml/dataset/contact/phone/@phonetype,NTL_2005_EML,190,91,1.00,0.4789473684210526
/eml:eml/dataset/contact/positionName,NTL_2005_EML,275,187,1.45,0.9842105263157894
/eml:eml/dataset/contact/references,NTL_2005_EML,89,88,0.47,0.4631578947368421
/eml:eml/dataset/coverage/@scope,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/coverage/geographicCoverage/@scope,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,NTL_2005_EML,27,27,0.14,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/generalTaxonomicCoverage,NTL_2005_EML,26,26,0.14,0.1368421052631579
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,NTL_2005_EML,1513,27,7.96,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,NTL_2005_EML,1513,27,7.96,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,NTL_2005_EML,1513,27,7.96,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,NTL_2005_EML,1513,27,7.96,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,NTL_2005_EML,1508,27,7.94,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,NTL_2005_EML,1508,27,7.94,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,NTL_2005_EML,1492,27,7.85,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,NTL_2005_EML,1492,27,7.85,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,NTL_2005_EML,1463,27,7.70,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,NTL_2005_EML,1463,27,7.70,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,NTL_2005_EML,1395,27,7.34,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,NTL_2005_EML,1395,27,7.34,0.14210526315789473
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,NTL_2005_EML,1142,22,6.01,0.11578947368421053
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,NTL_2005_EML,1142,22,6.01,0.11578947368421053
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,NTL_2005_EML,312,4,1.64,0.021052631578947368
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankValue,NTL_2005_EML,312,4,1.64,0.021052631578947368
/eml:eml/dataset/coverage/temporalCoverage/@scope,NTL_2005_EML,92,92,0.48,0.4842105263157895
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,NTL_2005_EML,190,190,1.00,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/alternativeTimeScale/timeScaleAgeEstimate,NTL_2005_EML,17,17,0.09,0.08947368421052632
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/alternativeTimeScale/timeScaleName,NTL_2005_EML,17,17,0.09,0.08947368421052632
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,NTL_2005_EML,173,173,0.91,0.9105263157894737
/eml:eml/dataset/creator/@id,NTL_2005_EML,224,92,1.18,0.4842105263157895
/eml:eml/dataset/creator/@scope,NTL_2005_EML,224,92,1.18,0.4842105263157895
/eml:eml/dataset/creator/address/@scope,NTL_2005_EML,224,92,1.18,0.4842105263157895
/eml:eml/dataset/creator/address/administrativeArea,NTL_2005_EML,416,190,2.19,1.0
/eml:eml/dataset/creator/address/city,NTL_2005_EML,416,190,2.19,1.0
/eml:eml/dataset/creator/address/country,NTL_2005_EML,409,188,2.15,0.9894736842105263
/eml:eml/dataset/creator/address/deliveryPoint,NTL_2005_EML,635,190,3.34,1.0
/eml:eml/dataset/creator/address/postalCode,NTL_2005_EML,416,190,2.19,1.0
/eml:eml/dataset/creator/electronicMailAddress,NTL_2005_EML,415,190,2.18,1.0
/eml:eml/dataset/creator/individualName/givenName,NTL_2005_EML,192,78,1.01,0.4105263157894737
/eml:eml/dataset/creator/individualName/surName,NTL_2005_EML,192,78,1.01,0.4105263157894737
/eml:eml/dataset/creator/organizationName,NTL_2005_EML,216,122,1.14,0.6421052631578947
/eml:eml/dataset/creator/phone,NTL_2005_EML,451,102,2.37,0.5368421052631579
/eml:eml/dataset/creator/phone/@phonetype,NTL_2005_EML,451,102,2.37,0.5368421052631579
/eml:eml/dataset/creator/positionName,NTL_2005_EML,112,112,0.59,0.5894736842105263
/eml:eml/dataset/dataTable/@scope,NTL_2005_EML,126,92,0.66,0.4842105263157895
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,NTL_2005_EML,2508,92,13.20,0.4842105263157895
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,NTL_2005_EML,4885,190,25.71,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,NTL_2005_EML,4885,190,25.71,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,NTL_2005_EML,4885,190,25.71,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,NTL_2005_EML,189,71,0.99,0.3736842105263158
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/@id,NTL_2005_EML,173,92,0.91,0.4842105263157895
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/bounds/maximum,NTL_2005_EML,33,33,0.17,0.1736842105263158
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/bounds/maximum/@exclusive,NTL_2005_EML,33,33,0.17,0.1736842105263158
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/bounds/minimum,NTL_2005_EML,33,33,0.17,0.1736842105263158
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/bounds/minimum/@exclusive,NTL_2005_EML,33,33,0.17,0.1736842105263158
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/dateTimeDomain/references,NTL_2005_EML,133,20,0.70,0.10526315789473684
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/datetime/formatString,NTL_2005_EML,306,92,1.61,0.4842105263157895
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/@id,NTL_2005_EML,126,46,0.66,0.24210526315789474
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum,NTL_2005_EML,110,46,0.58,0.24210526315789474
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/maximum/@exclusive,NTL_2005_EML,110,46,0.58,0.24210526315789474
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum,NTL_2005_EML,115,46,0.61,0.24210526315789474
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/bounds/minimum/@exclusive,NTL_2005_EML,115,46,0.61,0.24210526315789474
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,NTL_2005_EML,126,46,0.66,0.24210526315789474
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/references,NTL_2005_EML,221,30,1.16,0.15789473684210525
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,NTL_2005_EML,6,3,0.03,0.015789473684210527
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/standardUnit,NTL_2005_EML,341,46,1.79,0.24210526315789474
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/@id,NTL_2005_EML,187,92,0.98,0.4842105263157895
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/@enforced,NTL_2005_EML,107,82,0.56,0.43157894736842106
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/code,NTL_2005_EML,7166,177,37.72,0.9315789473684211
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,NTL_2005_EML,7166,177,37.72,0.9315789473684211
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/references,NTL_2005_EML,710,43,3.74,0.22631578947368422
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,NTL_2005_EML,326,120,1.72,0.631578947368421
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/pattern,NTL_2005_EML,63,48,0.33,0.25263157894736843
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/@id,NTL_2005_EML,33,33,0.17,0.1736842105263158
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/@enforced,NTL_2005_EML,4,4,0.02,0.021052631578947368
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/code,NTL_2005_EML,20,4,0.11,0.021052631578947368
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition,NTL_2005_EML,20,4,0.11,0.021052631578947368
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/references,NTL_2005_EML,6,6,0.03,0.031578947368421054
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition,NTL_2005_EML,29,29,0.15,0.15263157894736842
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/pattern,NTL_2005_EML,27,27,0.14,0.14210526315789473
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/@id,NTL_2005_EML,407,91,2.14,0.4789473684210526
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum,NTL_2005_EML,551,78,2.90,0.4105263157894737
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/maximum/@exclusive,NTL_2005_EML,551,78,2.90,0.4105263157894737
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum,NTL_2005_EML,563,84,2.96,0.4421052631578947
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/bounds/minimum/@exclusive,NTL_2005_EML,563,84,2.96,0.4421052631578947
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,NTL_2005_EML,1659,189,8.73,0.9947368421052631
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/references,NTL_2005_EML,512,29,2.69,0.15263157894736842
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,NTL_2005_EML,172,90,0.91,0.47368421052631576
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,NTL_2005_EML,628,74,3.31,0.3894736842105263
