Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,NTL_2014_EML,10.0,10.0,1.0,1.0
Resource Identifier,NTL_2014_EML,10.0,10.0,1.0,1.0
Resource Title,NTL_2014_EML,10.0,10.0,1.0,1.0
Author / Originator,NTL_2014_EML,22.0,10.0,2.2,1.0
Metadata Contact,NTL_2014_EML,10.0,10.0,1.0,1.0
Contributor Name,NTL_2014_EML,1.0,1.0,0.1,0.1
Publisher,NTL_2014_EML,10.0,10.0,1.0,1.0
Publication Date,NTL_2014_EML,9.0,9.0,0.9,0.9
Resource Contact,NTL_2014_EML,28.0,10.0,2.8,1.0
Abstract,NTL_2014_EML,10.0,10.0,1.0,1.0
Keyword,NTL_2014_EML,375.0,10.0,37.5,1.0
Resource Distribution,NTL_2014_EML,10.0,10.0,1.0,1.0
Spatial Extent,NTL_2014_EML,10.0,10.0,1.0,1.0
Taxonomic Extent,NTL_2014_EML,0.0,0.0,0.0,0.0
Temporal Extent,NTL_2014_EML,10.0,10.0,1.0,1.0
Maintenance,NTL_2014_EML,10.0,10.0,1.0,1.0
Resource Use Constraints,NTL_2014_EML,10.0,10.0,1.0,1.0
Process Step,NTL_2014_EML,10.0,10.0,1.0,1.0
Project Description,NTL_2014_EML,5.0,5.0,0.5,0.5
Entity Type Definition,NTL_2014_EML,7.0,3.0,0.7,0.3
Attribute Definition,NTL_2014_EML,58.0,3.0,5.8,0.3
Resource Access Constraints,NTL_2014_EML,10.0,10.0,1.0,1.0
Resource Format,NTL_2014_EML,7.0,3.0,0.7,0.3
Attribute List,NTL_2014_EML,7.0,3.0,0.7,0.3
Attribute Constraints,NTL_2014_EML,0.0,0.0,0.0,0.0
Resource Quality Description,NTL_2014_EML,1.0,1.0,0.1,0.1
