XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2014_EML,10,10,1.00,100.00%
/eml:eml/@packageId,2014_EML,10,10,1.00,100.00%
/eml:eml/@system,2014_EML,10,10,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2014_EML,10,10,1.00,100.00%
/eml:eml/access,2014_EML,50,10,5.00,100.00%
/eml:eml/access/@authSystem,2014_EML,10,10,1.00,100.00%
/eml:eml/access/@order,2014_EML,10,10,1.00,100.00%
/eml:eml/access/@scope,2014_EML,10,10,1.00,100.00%
/eml:eml/access/allow/permission,2014_EML,20,10,2.00,100.00%
/eml:eml/access/allow/principal,2014_EML,20,10,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,2014_EML,3,3,0.30,30.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2014_EML,3,1,0.30,10.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2014_EML,1,1,0.10,10.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2014_EML,18,3,1.80,30.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2014_EML,2,1,0.20,10.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2014_EML,3,1,0.30,10.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2014_EML,1,1,0.10,10.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2014_EML,2,1,0.20,10.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2014_EML,3,1,0.30,10.00%
/eml:eml/dataset/abstract,2014_EML,10,10,1.00,100.00%
/eml:eml/dataset/abstract/para,2014_EML,10,10,1.00,100.00%
/eml:eml/dataset/alternateIdentifier,2014_EML,10,10,1.00,100.00%
/eml:eml/dataset/alternateIdentifier/@system,2014_EML,10,10,1.00,100.00%
/eml:eml/dataset/associatedParty,2014_EML,1,1,0.10,10.00%
/eml:eml/dataset/associatedParty/address/administrativeArea,2014_EML,1,1,0.10,10.00%
/eml:eml/dataset/associatedParty/address/city,2014_EML,1,1,0.10,10.00%
/eml:eml/dataset/associatedParty/address/country,2014_EML,1,1,0.10,10.00%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2014_EML,1,1,0.10,10.00%
