Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Process Step,Project Description,Project Name,Publication Date,Publisher,Publisher E-Mail,Publisher URL,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2016,1.12.xml,1.0,57.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,37.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,400.0,0.0,0.0,0.0,1.0
2016,11.12.xml,1.0,18.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.0,0.0,0.0,0.0,1.0
2016,116.10.xml,1.0,9.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,192.0,0.0,0.0,0.0,1.0
2016,117.15.xml,1.0,59.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,17.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,304.0,0.0,0.0,0.0,1.0
2016,129.11.xml,1.0,24.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,233.0,0.0,0.0,0.0,1.0
2016,129.12.xml,1.0,38.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276.0,0.0,0.0,0.0,1.0
2016,13.12.xml,1.0,7.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,172.0,0.0,0.0,0.0,1.0
2016,130.11.xml,1.0,8.0,2.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,11.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0,1.0,1.0
2016,133.9.xml,1.0,18.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.0,0.0,0.0,0.0,1.0
2016,14.12.xml,1.0,12.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.0,0.0,0.0,0.0,1.0
2016,17.11.xml,1.0,84.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,20.0,2.0,0.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,355.0,0.0,0.0,0.0,1.0
2016,2.12.xml,1.0,26.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,328.0,0.0,0.0,0.0,1.0
2016,264.3.xml,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,137.0,0.0,0.0,0.0,1.0
2016,29.8.xml,1.0,21.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,329.0,0.0,0.0,0.0,1.0
