Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2017.0,1.33.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,41.0,1.0,11.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,57.0,1.0,1.0,1.0,0.0,0.0
2017.0,10.17.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,46.0,1.0,2.0,2.0,0.0,0.0
2017.0,11.19.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,13.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,20.0,1.0,2.0,2.0,0.0,0.0
2017.0,13.19.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,17.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0
2017.0,133.17.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,36.0,1.0,4.0,4.0,0.0,0.0
2017.0,14.18.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,15.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0
2017.0,17.18.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,23.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,147.0,1.0,4.0,4.0,0.0,0.0
2017.0,18.20.xml,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0
2017.0,181.7.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0
2017.0,182.11.xml,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,13.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0
