Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Process Step,Project Description,Project Name,Publication Date,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2017,1.33.xml,1.0,57.0,1.0,4.0,4.0,3.0,4.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,41.0,5.0,1.0,1.0,1.0,1.0,11.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,0.0,1.0,321.0,10.0,10.0,1.0,11.0
2017,10.17.xml,1.0,45.0,2.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,50.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,255.0,0.0,0.0,0.0,1.0
2017,11.19.xml,1.0,18.0,2.0,4.0,4.0,3.0,4.0,7.0,0.0,0.0,2.0,7.0,1.0,2.0,2.0,12.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,1.0,148.0,7.0,7.0,1.0,7.0
2017,13.19.xml,1.0,7.0,1.0,4.0,4.0,3.0,4.0,7.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,1.0,115.0,7.0,7.0,1.0,7.0
2017,133.17.xml,1.0,19.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,159.0,0.0,0.0,0.0,1.0
2017,14.18.xml,1.0,12.0,1.0,4.0,4.0,3.0,4.0,7.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,14.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,1.0,126.0,7.0,7.0,1.0,7.0
2017,17.18.xml,1.0,85.0,4.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,23.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,344.0,0.0,0.0,0.0,1.0
2017,18.20.xml,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,92.0,0.0,0.0,0.0,1.0
2017,181.7.xml,1.0,11.0,1.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,141.0,1.0,1.0,1.0,1.0
2017,182.11.xml,1.0,6.0,1.0,4.0,4.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,122.0,1.0,1.0,1.0,1.0
