Concept,NTL_2005_EML,NTL_2006_EML,NTL_2007_EML,NTL_2008_EML,NTL_2009_EML,NTL_2010_EML,NTL_2012_EML,NTL_2013_EML,NTL_2014_EML,NTL_2015_EML,NTL_2016_EML,NTL_2017_EML,NTL_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.35211267605633795,0.7233201581027668,0.5,0.57,0.5,0.6470588235294118,1.0,1.0,1.0,0.9872448979591836,0.7073170731707317,0.4690265486725664,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.10526315789473684,0.1,0.05612244897959184,0.07317073170731707,0.3008849557522124,0.0
Publisher,0.9788732394366196,0.8379446640316206,0.8157894736842105,1.0,1.0,1.0,1.0,1.0,1.0,0.9872448979591836,0.6585365853658537,0.0,0.0
Publication Date,0.35211267605633795,0.9130434782608696,0.4736842105263158,0.57,0.5,0.6470588235294118,1.0,0.7894736842105263,0.9,0.9846938775510204,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,0.9960474308300395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,0.9507042253521126,0.9644268774703556,0.7368421052631579,0.98,0.9705882352941176,0.9411764705882352,1.0,1.0,1.0,0.9974489795918368,1.0,1.0,1.0
Resource Distribution,0.35211267605633795,0.766798418972332,0.5,0.57,0.5,0.6470588235294118,1.0,1.0,1.0,0.9872448979591836,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974489795918368,0.951219512195122,0.991150442477876,1.0
Taxonomic Extent,0.19014084507042253,0.007905138339920948,0.13157894736842105,0.12,0.1176470588235294,0.05882352941176471,0.0,0.0,0.0,0.0,0.0,0.008849557522123894,0.0
Temporal Extent,1.0,0.9565217391304348,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,0.9974489795918368,1.0,1.0,1.0
Maintenance,0.3380281690140845,0.7233201581027668,0.5,0.56,0.5,0.6470588235294118,0.8918918918918919,1.0,1.0,0.9362244897959184,0.7317073170731707,0.6017699115044248,0.8571428571428571
Resource Use Constraints,0.35211267605633795,0.7233201581027668,0.5,0.57,0.5,0.6470588235294118,1.0,1.0,1.0,0.9923469387755102,1.0,1.0,1.0
Process Step,0.3380281690140845,0.7233201581027668,0.5,0.53,0.5,0.6470588235294118,0.972972972972973,1.0,1.0,0.9770408163265306,0.951219512195122,0.9734513274336284,1.0
Project Description,0.34507042253521125,0.02766798418972332,0.5,0.5,0.4705882352941176,0.6470588235294118,0.7027027027027027,0.8421052631578947,0.5,0.7168367346938775,0.6341463414634146,0.3982300884955752,0.0
Entity Type Definition,1.0,0.11462450592885375,1.0,0.99,1.0,1.0,0.7027027027027027,0.6842105263157895,0.3,0.7474489795918368,0.975609756097561,1.0,1.0
Attribute Definition,1.0,0.11462450592885375,1.0,0.99,1.0,1.0,0.7297297297297297,0.8947368421052632,0.3,0.7627551020408163,0.975609756097561,1.0,1.0
Resource Access Constraints,0.35211267605633795,0.7233201581027668,0.5,0.57,0.5,0.6470588235294118,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,1.0,0.11462450592885375,1.0,0.99,1.0,1.0,0.7297297297297297,0.8947368421052632,0.3,0.7627551020408163,0.975609756097561,1.0,1.0
Attribute List,1.0,0.11462450592885375,1.0,0.99,1.0,1.0,0.7297297297297297,0.8947368421052632,0.3,0.7627551020408163,0.975609756097561,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0025510204081632647,0.0,0.0,0.0
