XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2006_EML,2,2,1.00,100.00%
/eml:eml/@packageId,2006_EML,2,2,1.00,100.00%
/eml:eml/@scope,2006_EML,2,2,1.00,100.00%
/eml:eml/@system,2006_EML,2,2,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/@scope,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/abstract/para,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/access/@authSystem,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/access/@order,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/access/@scope,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/access/allow/permission,2006_EML,4,2,2.00,100.00%
/eml:eml/dataset/access/allow/principal,2006_EML,4,2,2.00,100.00%
/eml:eml/dataset/contact/@scope,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/@scope,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/administrativeArea,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/city,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/country,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/address/postalCode,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/organizationName,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/contact/positionName,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/@scope,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/@scope,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2006_EML,2,2,1.00,100.00%
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,2006_EML,1,1,0.50,50.00%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,2006_EML,1,1,0.50,50.00%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,2006_EML,2,1,1.00,50.00%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,2006_EML,1,1,0.50,50.00%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,2006_EML,4,1,2.00,50.00%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,2006_EML,1,1,0.50,50.00%
