Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2013_EML,3,3,1.00,100.00%
Abstract,2013_EML,3,3,1.00,100.00%
Attribute Definition,2013_EML,94,3,31.33,100.00%
Attribute List,2013_EML,3,3,1.00,100.00%
Author,2013_EML,6,3,2.00,100.00%
Author / Originator,2013_EML,6,3,2.00,100.00%
Author / Originator World Wide Web Address,2013_EML,6,3,2.00,100.00%
Bounding Box,2013_EML,3,3,1.00,100.00%
Distribution Format,2013_EML,3,3,1.00,100.00%
Easternmost Longitude,2013_EML,3,3,1.00,100.00%
End Time,2013_EML,3,3,1.00,100.00%
Entity Type Definition,2013_EML,3,3,1.00,100.00%
Entity and Attribute Information,2013_EML,3,3,1.00,100.00%
Keyword,2013_EML,153,3,51.00,100.00%
Keyword Vocabulary,2013_EML,3,3,1.00,100.00%
Maintenance,2013_EML,3,3,1.00,100.00%
Metadata Access Constraints,2013_EML,3,3,1.00,100.00%
Metadata Contact,2013_EML,3,3,1.00,100.00%
Metadata Use Constraints,2013_EML,3,3,1.00,100.00%
Northernmost Latitude,2013_EML,3,3,1.00,100.00%
Organization Name,2013_EML,12,3,4.00,100.00%
Originating Organization,2013_EML,3,3,1.00,100.00%
Process Step,2013_EML,3,3,1.00,100.00%
Project Name,2013_EML,6,3,2.00,100.00%
Publication Date,2013_EML,3,3,1.00,100.00%
Publisher,2013_EML,3,3,1.00,100.00%
Publisher E-Mail,2013_EML,3,3,1.00,100.00%
Publisher URL,2013_EML,3,3,1.00,100.00%
Resource Access Constraints,2013_EML,3,3,1.00,100.00%
Resource Contact,2013_EML,3,3,1.00,100.00%
Resource Creation/Revision Date,2013_EML,3,3,1.00,100.00%
Resource Distribution,2013_EML,3,3,1.00,100.00%
Resource Format,2013_EML,3,3,1.00,100.00%
Resource Identifier,2013_EML,3,3,1.00,100.00%
Resource Identifier Type,2013_EML,3,3,1.00,100.00%
Resource Language,2013_EML,3,3,1.00,100.00%
Resource Lineage,2013_EML,3,3,1.00,100.00%
Resource Long Name,2013_EML,3,3,1.00,100.00%
Resource Status,2013_EML,3,3,1.00,100.00%
Resource Title,2013_EML,3,3,1.00,100.00%
Resource Use Constraints,2013_EML,3,3,1.00,100.00%
Resource on-line Link,2013_EML,3,3,1.00,100.00%
Rights,2013_EML,3,3,1.00,100.00%
Security Constraints,2013_EML,3,3,1.00,100.00%
Southernmost Latitude,2013_EML,3,3,1.00,100.00%
Spatial Extent,2013_EML,3,3,1.00,100.00%
Start Time,2013_EML,3,3,1.00,100.00%
Temporal Extent,2013_EML,3,3,1.00,100.00%
Unknown,2013_EML,424,3,141.33,100.00%
Westernmost Longitude,2013_EML,3,3,1.00,100.00%
