Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator World Wide Web Address,Distribution Format,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Vocabulary,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Organization Name,Originating Organization,Process Step,Project Name,Publication Date,Publisher,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Start Time,Temporal Extent,Unknown
2017,189.3.xml,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0
2017,189.4.xml,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0
2017,189.5.xml,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0
2017,209.2.xml,1.0,21.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,230.0
2017,209.3.xml,1.0,21.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,230.0
2017,212.3.xml,1.0,21.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,367.0
2017,214.2.xml,1.0,27.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,344.0
2017,214.3.xml,1.0,27.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,344.0
2017,24.4.xml,1.0,17.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,7.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190.0
2017,24.5.xml,1.0,17.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,7.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,190.0
2017,24.6.xml,1.0,17.0,0.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,15.0,2.0,1.0,1.0,1.0,7.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.0
2017,26.3.xml,1.0,9.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,137.0
2017,26.4.xml,1.0,9.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,146.0
2017,41.4.xml,1.0,14.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160.0
2017,41.5.xml,1.0,14.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,159.0
2017,41.6.xml,1.0,14.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,159.0
2017,45.3.xml,1.0,13.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,124.0
2017,47.3.xml,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.0
2017,47.4.xml,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.0
