XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2017_EML,25,25,1.00,100.00%
/eml:eml/@packageId,2017_EML,25,25,1.00,100.00%
/eml:eml/@scope,2017_EML,25,25,1.00,100.00%
/eml:eml/@system,2017_EML,25,25,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2017_EML,25,25,1.00,100.00%
/eml:eml/access,2017_EML,125,25,5.00,100.00%
/eml:eml/access/@authSystem,2017_EML,25,25,1.00,100.00%
/eml:eml/access/@order,2017_EML,25,25,1.00,100.00%
/eml:eml/access/@scope,2017_EML,25,25,1.00,100.00%
/eml:eml/access/@system,2017_EML,25,25,1.00,100.00%
/eml:eml/access/allow/permission,2017_EML,50,25,2.00,100.00%
/eml:eml/access/allow/principal,2017_EML,50,25,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:,2017_EML,1,1,0.04,4.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,2017_EML,25,25,1.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2017_EML,153,25,6.12,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2017_EML,27,22,1.08,88.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2017_EML,167,25,6.68,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2017_EML,60,22,2.40,88.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2017_EML,166,25,6.64,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2017_EML,64,22,2.56,88.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2017_EML,100,25,4.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2017_EML,164,25,6.56,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,2017_EML,98,25,3.92,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,2017_EML,98,25,3.92,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,2017_EML,101,25,4.04,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,2017_EML,33,18,1.32,72.00%
/eml:eml/dataset/@scope,2017_EML,25,25,1.00,100.00%
/eml:eml/dataset/abstract,2017_EML,25,25,1.00,100.00%
