Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2007.0,28.3.xml,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0
2011.0,100.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0
2011.0,102.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.0,1.0,0.0,1.0,0.0,0.0
2011.0,126.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0
2011.0,127.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0
2011.0,129.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0
2011.0,130.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,36.0,1.0,0.0,1.0,0.0,0.0
2011.0,151.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
2011.0,189.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0
2011.0,211.1.xml,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,15.0,1.0,0.0,1.0,0.0,0.0
