XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,75,75,1.00,100.00%
/eml:eml/@packageId,2012_EML,75,75,1.00,100.00%
/eml:eml/@scope,2012_EML,16,16,0.21,21.33%
/eml:eml/@system,2012_EML,75,75,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2012_EML,75,75,1.00,100.00%
/eml:eml/access,2012_EML,375,75,5.00,100.00%
/eml:eml/access/@authSystem,2012_EML,75,75,1.00,100.00%
/eml:eml/access/@order,2012_EML,75,75,1.00,100.00%
/eml:eml/access/@scope,2012_EML,75,75,1.00,100.00%
/eml:eml/access/allow/permission,2012_EML,150,75,2.00,100.00%
/eml:eml/access/allow/principal,2012_EML,150,75,2.00,100.00%
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,2012_EML,64,34,0.85,45.33%
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,2012_EML,50,34,0.67,45.33%
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,2012_EML,64,34,0.85,45.33%
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,2012_EML,45,34,0.60,45.33%
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,2012_EML,60,34,0.80,45.33%
/eml:eml/additionalMetadata/metadata/unitList/unit/description,2012_EML,64,34,0.85,45.33%
/eml:eml/dataset/@scope,2012_EML,16,16,0.21,21.33%
/eml:eml/dataset/abstract,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/abstract/para,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/alternateIdentifier,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/associatedParty,2012_EML,144,70,1.92,93.33%
/eml:eml/dataset/associatedParty/@scope,2012_EML,15,15,0.20,20.00%
/eml:eml/dataset/associatedParty/individualName/givenName,2012_EML,144,70,1.92,93.33%
/eml:eml/dataset/associatedParty/individualName/surName,2012_EML,142,70,1.89,93.33%
/eml:eml/dataset/associatedParty/role,2012_EML,70,70,0.93,93.33%
/eml:eml/dataset/contact,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/@id,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/@scope,2012_EML,16,16,0.21,21.33%
/eml:eml/dataset/contact/@system,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/address/@scope,2012_EML,16,16,0.21,21.33%
/eml:eml/dataset/contact/address/administrativeArea,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/address/city,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/address/country,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2012_EML,225,75,3.00,100.00%
/eml:eml/dataset/contact/address/postalCode,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/onlineUrl,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/phone,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/phone/@phonetype,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/contact/positionName,2012_EML,75,75,1.00,100.00%
/eml:eml/dataset/coverage/@scope,2012_EML,16,16,0.21,21.33%
/eml:eml/dataset/coverage/geographicCoverage,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/geographicCoverage/@id,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/geographicCoverage/@scope,2012_EML,16,16,0.21,21.33%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2012_EML,153,75,2.04,100.00%
/eml:eml/dataset/coverage/taxonomicCoverage,2012_EML,41,41,0.55,54.67%
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,2012_EML,8,8,0.11,10.67%
