XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,PIE_2012_EML,75,75,75,75.0
/eml:eml/@packageId,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/@scope,PIE_2012_EML,16,16,0.21,0.21333333333333335
/eml:eml/@system,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/@xsi:schemaLocation,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/access/@authSystem,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/access/@order,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/access/@scope,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/access/allow/permission,PIE_2012_EML,150,75,2.00,1.0
/eml:eml/access/allow/principal,PIE_2012_EML,150,75,2.00,1.0
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,PIE_2012_EML,64,34,0.85,0.4533333333333333
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplierToSI,PIE_2012_EML,64,34,0.85,0.4533333333333333
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,PIE_2012_EML,64,34,0.85,0.4533333333333333
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,PIE_2012_EML,64,34,0.85,0.4533333333333333
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,PIE_2012_EML,64,34,0.85,0.4533333333333333
/eml:eml/additionalMetadata/metadata/unitList/unit/description,PIE_2012_EML,64,34,0.85,0.4533333333333333
/eml:eml/dataset/@scope,PIE_2012_EML,16,16,0.21,0.21333333333333335
/eml:eml/dataset/abstract/para,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/alternateIdentifier,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/associatedParty/@scope,PIE_2012_EML,32,15,0.43,0.2
/eml:eml/dataset/associatedParty/individualName/givenName,PIE_2012_EML,144,70,1.92,0.9333333333333333
/eml:eml/dataset/associatedParty/individualName/surName,PIE_2012_EML,144,70,1.92,0.9333333333333333
/eml:eml/dataset/associatedParty/role,PIE_2012_EML,144,70,1.92,0.9333333333333333
/eml:eml/dataset/contact/@id,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/@scope,PIE_2012_EML,16,16,0.21,0.21333333333333335
/eml:eml/dataset/contact/@system,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/address/@scope,PIE_2012_EML,16,16,0.21,0.21333333333333335
/eml:eml/dataset/contact/address/administrativeArea,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/address/city,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/address/country,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,PIE_2012_EML,225,75,3.00,1.0
/eml:eml/dataset/contact/address/postalCode,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/electronicMailAddress,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/onlineUrl,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/phone,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/phone/@phonetype,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/contact/positionName,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/coverage/@scope,PIE_2012_EML,16,16,0.21,0.21333333333333335
/eml:eml/dataset/coverage/geographicCoverage/@id,PIE_2012_EML,153,75,2.04,1.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,PIE_2012_EML,31,16,0.41,0.21333333333333335
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,PIE_2012_EML,153,75,2.04,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,PIE_2012_EML,153,75,2.04,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,PIE_2012_EML,153,75,2.04,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,PIE_2012_EML,153,75,2.04,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,PIE_2012_EML,153,75,2.04,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,PIE_2012_EML,8,8,0.11,0.10666666666666667
/eml:eml/dataset/coverage/taxonomicCoverage/generalTaxonomicCoverage,PIE_2012_EML,41,41,0.55,0.5466666666666666
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,PIE_2012_EML,124,41,1.65,0.5466666666666666
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,PIE_2012_EML,124,41,1.65,0.5466666666666666
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,PIE_2012_EML,124,41,1.65,0.5466666666666666
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,PIE_2012_EML,124,41,1.65,0.5466666666666666
/eml:eml/dataset/coverage/temporalCoverage/@scope,PIE_2012_EML,16,16,0.21,0.21333333333333335
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,PIE_2012_EML,75,75,1.00,1.0
/eml:eml/dataset/creator/@id,PIE_2012_EML,107,75,1.43,1.0
/eml:eml/dataset/creator/@scope,PIE_2012_EML,26,16,0.35,0.21333333333333335
/eml:eml/dataset/creator/address/@scope,PIE_2012_EML,26,16,0.35,0.21333333333333335
/eml:eml/dataset/creator/address/administrativeArea,PIE_2012_EML,107,75,1.43,1.0
/eml:eml/dataset/creator/address/city,PIE_2012_EML,107,75,1.43,1.0
/eml:eml/dataset/creator/address/country,PIE_2012_EML,107,75,1.43,1.0
/eml:eml/dataset/creator/address/deliveryPoint,PIE_2012_EML,306,75,4.08,1.0
/eml:eml/dataset/creator/address/postalCode,PIE_2012_EML,107,75,1.43,1.0
/eml:eml/dataset/creator/individualName/givenName,PIE_2012_EML,107,75,1.43,1.0
/eml:eml/dataset/creator/individualName/surName,PIE_2012_EML,107,75,1.43,1.0
