Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,PIE_2015_EML,422.0,422.0,1.0,1.0
Resource Identifier,PIE_2015_EML,422.0,422.0,1.0,1.0
Resource Title,PIE_2015_EML,422.0,422.0,1.0,1.0
Author / Originator,PIE_2015_EML,563.0,422.0,1.33,1.0
Metadata Contact,PIE_2015_EML,422.0,422.0,1.0,1.0
Contributor Name,PIE_2015_EML,508.0,287.0,1.2,0.6800947867298578
Publisher,PIE_2015_EML,421.0,421.0,1.0,0.9976303317535544
Publication Date,PIE_2015_EML,422.0,422.0,1.0,1.0
Resource Contact,PIE_2015_EML,844.0,422.0,2.0,1.0
Abstract,PIE_2015_EML,422.0,422.0,1.0,1.0
Keyword,PIE_2015_EML,4497.0,422.0,10.66,1.0
Resource Distribution,PIE_2015_EML,422.0,422.0,1.0,1.0
Spatial Extent,PIE_2015_EML,886.0,422.0,2.1,1.0
Taxonomic Extent,PIE_2015_EML,144.0,144.0,0.34,0.3412322274881517
Temporal Extent,PIE_2015_EML,422.0,422.0,1.0,1.0
Maintenance,PIE_2015_EML,422.0,422.0,1.0,1.0
Resource Use Constraints,PIE_2015_EML,422.0,422.0,1.0,1.0
Process Step,PIE_2015_EML,326.0,326.0,0.77,0.7725118483412322
Project Description,PIE_2015_EML,422.0,422.0,1.0,1.0
Entity Type Definition,PIE_2015_EML,286.0,286.0,0.68,0.6777251184834123
Attribute Definition,PIE_2015_EML,3361.0,286.0,7.96,0.6777251184834123
Resource Access Constraints,PIE_2015_EML,422.0,422.0,1.0,1.0
Resource Format,PIE_2015_EML,286.0,286.0,0.68,0.6777251184834123
Attribute List,PIE_2015_EML,286.0,286.0,0.68,0.6777251184834123
Attribute Constraints,PIE_2015_EML,0.0,0.0,0.0,0.0
Resource Quality Description,PIE_2015_EML,0.0,0.0,0.0,0.0
