XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2006_EML,62,62,1.00,100.00%
/eml:eml/@packageId,2006_EML,12,12,0.19,19.35%
/eml:eml/@scope,2006_EML,40,40,0.65,64.52%
/eml:eml/@system,2006_EML,12,12,0.19,19.35%
/eml:eml/@xsi:schemaLocation,2006_EML,45,45,0.73,72.58%
/eml:eml/access,2006_EML,60,12,0.97,19.35%
/eml:eml/access/@authSystem,2006_EML,12,12,0.19,19.35%
/eml:eml/access/@order,2006_EML,12,12,0.19,19.35%
/eml:eml/access/@scope,2006_EML,6,6,0.10,9.68%
/eml:eml/access/allow/permission,2006_EML,26,12,0.42,19.35%
/eml:eml/access/allow/principal,2006_EML,38,12,0.61,19.35%
/eml:eml/additionalMetadata/access/@authSystem,2006_EML,13,13,0.21,20.97%
/eml:eml/additionalMetadata/access/@order,2006_EML,13,13,0.21,20.97%
/eml:eml/additionalMetadata/access/@scope,2006_EML,2,2,0.03,3.23%
/eml:eml/additionalMetadata/access/allow/permission,2006_EML,26,13,0.42,20.97%
/eml:eml/additionalMetadata/access/allow/principal,2006_EML,81,13,1.31,20.97%
/eml:eml/additionalMetadata/describes,2006_EML,32,18,0.52,29.03%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2006_EML,41,6,0.66,9.68%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2006_EML,11,6,0.18,9.68%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2006_EML,67,6,1.08,9.68%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2006_EML,18,6,0.29,9.68%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2006_EML,67,6,1.08,9.68%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2006_EML,39,6,0.63,9.68%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2006_EML,57,6,0.92,9.68%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2006_EML,63,6,1.02,9.68%
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,2006_EML,113,23,1.82,37.10%
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,2006_EML,161,23,2.60,37.10%
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,2006_EML,101,23,1.63,37.10%
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,2006_EML,161,23,2.60,37.10%
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,2006_EML,107,23,1.73,37.10%
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,2006_EML,108,23,1.74,37.10%
/eml:eml/additionalMetadata/metadata/unitList/unit/description,2006_EML,158,23,2.55,37.10%
/eml:eml/additionalMetadata/unitList/unit/@abbreviation,2006_EML,118,9,1.90,14.52%
/eml:eml/additionalMetadata/unitList/unit/@id,2006_EML,201,9,3.24,14.52%
/eml:eml/additionalMetadata/unitList/unit/@multiplerToSI,2006_EML,82,9,1.32,14.52%
/eml:eml/additionalMetadata/unitList/unit/@name,2006_EML,201,9,3.24,14.52%
/eml:eml/additionalMetadata/unitList/unit/@parentSI,2006_EML,92,9,1.48,14.52%
/eml:eml/additionalMetadata/unitList/unit/@unitType,2006_EML,92,9,1.48,14.52%
/eml:eml/additionalMetadata/unitList/unit/description,2006_EML,200,9,3.23,14.52%
/eml:eml/dataset/@id,2006_EML,11,11,0.18,17.74%
/eml:eml/dataset/@scope,2006_EML,39,39,0.63,62.90%
/eml:eml/dataset/abstract,2006_EML,12,12,0.19,19.35%
/eml:eml/dataset/abstract/para,2006_EML,45,39,0.73,62.90%
/eml:eml/dataset/abstract/para/emphasis,2006_EML,1,1,0.02,1.61%
/eml:eml/dataset/abstract/para/ulink,2006_EML,3,3,0.05,4.84%
/eml:eml/dataset/abstract/para/ulink/@url,2006_EML,3,3,0.05,4.84%
/eml:eml/dataset/abstract/section/para,2006_EML,31,6,0.50,9.68%
/eml:eml/dataset/abstract/section/title,2006_EML,6,6,0.10,9.68%
/eml:eml/dataset/access/@authSystem,2006_EML,33,33,0.53,53.23%
/eml:eml/dataset/access/@order,2006_EML,33,33,0.53,53.23%
/eml:eml/dataset/access/@scope,2006_EML,33,33,0.53,53.23%
/eml:eml/dataset/access/allow/permission,2006_EML,69,33,1.11,53.23%
/eml:eml/dataset/access/allow/principal,2006_EML,178,33,2.87,53.23%
/eml:eml/dataset/access/deny/permission,2006_EML,1,1,0.02,1.61%
/eml:eml/dataset/access/deny/principal,2006_EML,1,1,0.02,1.61%
/eml:eml/dataset/additionalInfo,2006_EML,2,2,0.03,3.23%
/eml:eml/dataset/additionalInfo/para,2006_EML,7,7,0.11,11.29%
/eml:eml/dataset/additionalInfo/section/para,2006_EML,4,4,0.06,6.45%
/eml:eml/dataset/alternateIdentifier,2006_EML,6,6,0.10,9.68%
/eml:eml/dataset/associatedParty,2006_EML,19,9,0.31,14.52%
/eml:eml/dataset/associatedParty/@id,2006_EML,11,5,0.18,8.06%
/eml:eml/dataset/associatedParty/@scope,2006_EML,32,32,0.52,51.61%
/eml:eml/dataset/associatedParty/address/@scope,2006_EML,32,32,0.52,51.61%
/eml:eml/dataset/associatedParty/address/administrativeArea,2006_EML,37,37,0.60,59.68%
/eml:eml/dataset/associatedParty/address/city,2006_EML,38,37,0.61,59.68%
/eml:eml/dataset/associatedParty/address/country,2006_EML,37,37,0.60,59.68%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2006_EML,101,37,1.63,59.68%
/eml:eml/dataset/associatedParty/address/postalCode,2006_EML,44,37,0.71,59.68%
/eml:eml/dataset/associatedParty/electronicMailAddress,2006_EML,75,37,1.21,59.68%
/eml:eml/dataset/associatedParty/individualName/givenName,2006_EML,76,37,1.23,59.68%
/eml:eml/dataset/associatedParty/individualName/salutation,2006_EML,2,2,0.03,3.23%
/eml:eml/dataset/associatedParty/individualName/surName,2006_EML,75,37,1.21,59.68%
/eml:eml/dataset/associatedParty/onlineUrl,2006_EML,29,29,0.47,46.77%
/eml:eml/dataset/associatedParty/organizationName,2006_EML,4,4,0.06,6.45%
/eml:eml/dataset/associatedParty/phone,2006_EML,71,37,1.15,59.68%
/eml:eml/dataset/associatedParty/phone/@phonetype,2006_EML,42,37,0.68,59.68%
/eml:eml/dataset/associatedParty/positionName,2006_EML,6,5,0.10,8.06%
/eml:eml/dataset/associatedParty/role,2006_EML,10,9,0.16,14.52%
/eml:eml/dataset/contact,2006_EML,12,12,0.19,19.35%
/eml:eml/dataset/contact/@id,2006_EML,20,20,0.32,32.26%
/eml:eml/dataset/contact/@scope,2006_EML,39,39,0.63,62.90%
/eml:eml/dataset/contact/@system,2006_EML,20,20,0.32,32.26%
/eml:eml/dataset/contact/address/@scope,2006_EML,39,39,0.63,62.90%
/eml:eml/dataset/contact/address/administrativeArea,2006_EML,45,45,0.73,72.58%
/eml:eml/dataset/contact/address/city,2006_EML,45,45,0.73,72.58%
/eml:eml/dataset/contact/address/country,2006_EML,45,45,0.73,72.58%
/eml:eml/dataset/contact/address/deliveryPoint,2006_EML,89,45,1.44,72.58%
/eml:eml/dataset/contact/address/postalCode,2006_EML,45,45,0.73,72.58%
/eml:eml/dataset/contact/electronicMailAddress,2006_EML,45,45,0.73,72.58%
/eml:eml/dataset/contact/individualName/givenName,2006_EML,1,1,0.02,1.61%
/eml:eml/dataset/contact/individualName/surName,2006_EML,1,1,0.02,1.61%
/eml:eml/dataset/contact/onlineUrl,2006_EML,36,36,0.58,58.06%
/eml:eml/dataset/contact/organizationName,2006_EML,12,12,0.19,19.35%
/eml:eml/dataset/contact/phone,2006_EML,45,45,0.73,72.58%
/eml:eml/dataset/contact/phone/@phonetype,2006_EML,45,45,0.73,72.58%
/eml:eml/dataset/contact/positionName,2006_EML,44,44,0.71,70.97%
/eml:eml/dataset/coverage/@scope,2006_EML,32,32,0.52,51.61%
/eml:eml/dataset/coverage/geographicCoverage,2006_EML,50,12,0.81,19.35%
/eml:eml/dataset/coverage/geographicCoverage/@id,2006_EML,172,27,2.77,43.55%
/eml:eml/dataset/coverage/geographicCoverage/@scope,2006_EML,40,39,0.65,62.90%
/eml:eml/dataset/coverage/geographicCoverage/@system,2006_EML,16,16,0.26,25.81%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2006_EML,50,12,0.81,19.35%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,2006_EML,38,9,0.61,14.52%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,2006_EML,38,9,0.61,14.52%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,2006_EML,9,9,0.15,14.52%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2006_EML,50,12,0.81,19.35%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2006_EML,48,12,0.77,19.35%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2006_EML,48,12,0.77,19.35%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2006_EML,50,12,0.81,19.35%
/eml:eml/dataset/coverage/geographicCoverage/datasetGPolygon/datasetGPolygonOuterGRing/gRingPoint/gRingLatitude,2006_EML,16,1,0.26,1.61%
/eml:eml/dataset/coverage/geographicCoverage/datasetGPolygon/datasetGPolygonOuterGRing/gRingPoint/gRingLongitude,2006_EML,17,1,0.27,1.61%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2006_EML,193,45,3.11,72.58%
/eml:eml/dataset/coverage/taxonomicCoverage,2006_EML,3,3,0.05,4.84%
/eml:eml/dataset/coverage/taxonomicCoverage/@id,2006_EML,5,5,0.08,8.06%
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,2006_EML,6,6,0.10,9.68%
/eml:eml/dataset/coverage/taxonomicCoverage/generalTaxonomicCoverage,2006_EML,6,6,0.10,9.68%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankName,2006_EML,7,7,0.11,11.29%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonRankValue,2006_EML,7,7,0.11,11.29%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankName,2006_EML,7,7,0.11,11.29%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonRankValue,2006_EML,7,7,0.11,11.29%
/eml:eml/dataset/coverage/taxonomicCoverage/taxonomicClassification/taxonomicClassification/taxonomicClassification/taxonRankName,2006_EML,7,7,0.11,11.29%
