XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,SBC_2006_EML,45,45,45,45.0
/eml:eml/@packageId,SBC_2006_EML,45,45,1.00,1.0
/eml:eml/@scope,SBC_2006_EML,40,40,0.89,0.8888888888888888
/eml:eml/@system,SBC_2006_EML,45,45,1.00,1.0
/eml:eml/@xsi:schemaLocation,SBC_2006_EML,45,45,1.00,1.0
/eml:eml/access/@authSystem,SBC_2006_EML,12,12,0.27,0.26666666666666666
/eml:eml/access/@order,SBC_2006_EML,12,12,0.27,0.26666666666666666
/eml:eml/access/@scope,SBC_2006_EML,6,6,0.13,0.13333333333333333
/eml:eml/access/allow/permission,SBC_2006_EML,38,12,0.84,0.26666666666666666
/eml:eml/access/allow/principal,SBC_2006_EML,38,12,0.84,0.26666666666666666
/eml:eml/additionalMetadata/access/@authSystem,SBC_2006_EML,27,13,0.60,0.28888888888888886
/eml:eml/additionalMetadata/access/@order,SBC_2006_EML,27,13,0.60,0.28888888888888886
/eml:eml/additionalMetadata/access/@scope,SBC_2006_EML,2,2,0.04,0.044444444444444446
/eml:eml/additionalMetadata/access/allow/permission,SBC_2006_EML,167,13,3.71,0.28888888888888886
/eml:eml/additionalMetadata/access/allow/principal,SBC_2006_EML,167,13,3.71,0.28888888888888886
/eml:eml/additionalMetadata/describes,SBC_2006_EML,32,18,0.71,0.4
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,SBC_2006_EML,41,6,0.91,0.13333333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,SBC_2006_EML,21,6,0.47,0.13333333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,SBC_2006_EML,67,6,1.49,0.13333333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,SBC_2006_EML,34,6,0.76,0.13333333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,SBC_2006_EML,67,6,1.49,0.13333333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,SBC_2006_EML,40,6,0.89,0.13333333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,SBC_2006_EML,60,6,1.33,0.13333333333333333
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,SBC_2006_EML,63,6,1.40,0.13333333333333333
/eml:eml/additionalMetadata/metadata/unitList/unit/@abbreviation,SBC_2006_EML,116,23,2.58,0.5111111111111111
/eml:eml/additionalMetadata/metadata/unitList/unit/@id,SBC_2006_EML,161,23,3.58,0.5111111111111111
/eml:eml/additionalMetadata/metadata/unitList/unit/@multiplerToSI,SBC_2006_EML,149,23,3.31,0.5111111111111111
/eml:eml/additionalMetadata/metadata/unitList/unit/@name,SBC_2006_EML,161,23,3.58,0.5111111111111111
/eml:eml/additionalMetadata/metadata/unitList/unit/@parentSI,SBC_2006_EML,161,23,3.58,0.5111111111111111
/eml:eml/additionalMetadata/metadata/unitList/unit/@unitType,SBC_2006_EML,161,23,3.58,0.5111111111111111
/eml:eml/additionalMetadata/metadata/unitList/unit/description,SBC_2006_EML,161,23,3.58,0.5111111111111111
/eml:eml/additionalMetadata/unitList/unit/@abbreviation,SBC_2006_EML,119,9,2.64,0.2
/eml:eml/additionalMetadata/unitList/unit/@id,SBC_2006_EML,201,9,4.47,0.2
/eml:eml/additionalMetadata/unitList/unit/@multiplerToSI,SBC_2006_EML,165,9,3.67,0.2
/eml:eml/additionalMetadata/unitList/unit/@name,SBC_2006_EML,201,9,4.47,0.2
/eml:eml/additionalMetadata/unitList/unit/@parentSI,SBC_2006_EML,201,9,4.47,0.2
/eml:eml/additionalMetadata/unitList/unit/@unitType,SBC_2006_EML,201,9,4.47,0.2
/eml:eml/additionalMetadata/unitList/unit/description,SBC_2006_EML,201,9,4.47,0.2
/eml:eml/dataset/@id,SBC_2006_EML,11,11,0.24,0.24444444444444444
/eml:eml/dataset/@scope,SBC_2006_EML,39,39,0.87,0.8666666666666667
/eml:eml/dataset/abstract/para,SBC_2006_EML,45,39,1.00,0.8666666666666667
/eml:eml/dataset/abstract/para/emphasis,SBC_2006_EML,1,1,0.02,0.022222222222222223
/eml:eml/dataset/abstract/para/ulink,SBC_2006_EML,3,3,0.07,0.06666666666666667
