Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2010_EML,45,45,1.00,100.00%
Abstract,2010_EML,39,39,0.87,86.67%
Attribute Definition,2010_EML,1071,39,23.80,86.67%
Attribute List,2010_EML,43,39,0.96,86.67%
Author,2010_EML,88,39,1.96,86.67%
Author / Originator,2010_EML,88,39,1.96,86.67%
Author / Originator Email Address,2010_EML,16,16,0.36,35.56%
Author / Originator Identifier,2010_EML,80,36,1.78,80.00%
Author / Originator Identifier Type,2010_EML,14,13,0.31,28.89%
Author / Originator World Wide Web Address,2010_EML,66,36,1.47,80.00%
Bounding Box,2010_EML,198,37,4.40,82.22%
Contributor Name,2010_EML,31,18,0.69,40.00%
Contributor Role,2010_EML,25,18,0.56,40.00%
Distribution Format,2010_EML,41,39,0.91,86.67%
Easternmost Longitude,2010_EML,198,37,4.40,82.22%
End Time,2010_EML,37,37,0.82,82.22%
Entity Type Definition,2010_EML,43,39,0.96,86.67%
Entity and Attribute Information,2010_EML,43,39,0.96,86.67%
Instrument,2010_EML,48,13,1.07,28.89%
Keyword,2010_EML,902,39,20.04,86.67%
Keyword Type,2010_EML,80,39,1.78,86.67%
Keyword Vocabulary,2010_EML,217,39,4.82,86.67%
Maintenance,2010_EML,4,4,0.09,8.89%
Metadata Access Constraints,2010_EML,39,39,0.87,86.67%
Metadata Use Constraints,2010_EML,39,39,0.87,86.67%
Northernmost Latitude,2010_EML,198,37,4.40,82.22%
Organization Name,2010_EML,81,39,1.80,86.67%
Originating Organization,2010_EML,37,37,0.82,82.22%
Parent Identifier,2010_EML,16,16,0.36,35.56%
Place Keyword,2010_EML,126,37,2.80,82.22%
Process Step,2010_EML,37,37,0.82,82.22%
Project Description,2010_EML,39,39,0.87,86.67%
Project Name,2010_EML,66,36,1.47,80.00%
Publication Date,2010_EML,39,39,0.87,86.67%
Publisher,2010_EML,39,39,0.87,86.67%
Related Resource Citation,2010_EML,39,39,0.87,86.67%
Related Resource Identifier,2010_EML,16,16,0.36,35.56%
Resource Access Constraints,2010_EML,39,39,0.87,86.67%
Resource Contact,2010_EML,39,39,0.87,86.67%
Resource Creation/Revision Date,2010_EML,39,39,0.87,86.67%
Resource Distribution,2010_EML,37,37,0.82,82.22%
Resource Format,2010_EML,41,39,0.91,86.67%
Resource Identifier,2010_EML,39,39,0.87,86.67%
Resource Identifier Type,2010_EML,39,39,0.87,86.67%
Resource Language,2010_EML,23,23,0.51,51.11%
Resource Lineage,2010_EML,37,37,0.82,82.22%
Resource Long Name,2010_EML,39,39,0.87,86.67%
Resource Status,2010_EML,39,39,0.87,86.67%
Resource Title,2010_EML,39,39,0.87,86.67%
Resource Use Constraints,2010_EML,39,39,0.87,86.67%
Resource on-line Link,2010_EML,37,37,0.82,82.22%
Responsible Party Identifier,2010_EML,22,12,0.49,26.67%
Responsible Party Identifier Type,2010_EML,2,1,0.04,2.22%
Rights,2010_EML,39,39,0.87,86.67%
Security Constraints,2010_EML,39,39,0.87,86.67%
Southernmost Latitude,2010_EML,198,37,4.40,82.22%
Spatial Extent,2010_EML,198,37,4.40,82.22%
Start Time,2010_EML,37,37,0.82,82.22%
Supplemental Information,2010_EML,4,4,0.09,8.89%
Taxonomic Extent,2010_EML,6,6,0.13,13.33%
Temporal Extent,2010_EML,37,37,0.82,82.22%
Unknown,2010_EML,13390,45,297.56,100.00%
Vertical Maximum,2010_EML,11,11,0.24,24.44%
Vertical Minimum,2010_EML,11,11,0.24,24.44%
Vertical Resolution,2010_EML,11,11,0.24,24.44%
Westernmost Longitude,2010_EML,198,37,4.40,82.22%
