Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,SBC_2011_EML,19.0,19.0,1.0,1.0
Resource Identifier,SBC_2011_EML,19.0,19.0,1.0,1.0
Resource Title,SBC_2011_EML,19.0,19.0,1.0,1.0
Author / Originator,SBC_2011_EML,57.0,19.0,3.0,1.0
Metadata Contact,SBC_2011_EML,0.0,0.0,0.0,0.0
Contributor Name,SBC_2011_EML,3.0,3.0,0.16,0.15789473684210525
Publisher,SBC_2011_EML,17.0,17.0,0.89,0.8947368421052632
Publication Date,SBC_2011_EML,19.0,19.0,1.0,1.0
Resource Contact,SBC_2011_EML,19.0,19.0,1.0,1.0
Abstract,SBC_2011_EML,19.0,19.0,1.0,1.0
Keyword,SBC_2011_EML,553.0,19.0,29.11,1.0
Resource Distribution,SBC_2011_EML,17.0,17.0,0.89,0.8947368421052632
Spatial Extent,SBC_2011_EML,212.0,19.0,11.16,1.0
Taxonomic Extent,SBC_2011_EML,0.0,0.0,0.0,0.0
Temporal Extent,SBC_2011_EML,19.0,19.0,1.0,1.0
Maintenance,SBC_2011_EML,4.0,4.0,0.21,0.21052631578947367
Resource Use Constraints,SBC_2011_EML,17.0,17.0,0.89,0.8947368421052632
Process Step,SBC_2011_EML,19.0,19.0,1.0,1.0
Project Description,SBC_2011_EML,18.0,18.0,0.95,0.9473684210526316
Entity Type Definition,SBC_2011_EML,31.0,19.0,1.63,1.0
Attribute Definition,SBC_2011_EML,912.0,19.0,48.0,1.0
Resource Access Constraints,SBC_2011_EML,19.0,19.0,1.0,1.0
Resource Format,SBC_2011_EML,31.0,19.0,1.63,1.0
Attribute List,SBC_2011_EML,31.0,19.0,1.63,1.0
Attribute Constraints,SBC_2011_EML,2.0,2.0,0.11,0.10526315789473684
Resource Quality Description,SBC_2011_EML,0.0,0.0,0.0,0.0
