Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2011,43.3.xml,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,39.0,0.0,0.0,1.0,37.0,0.0,1.0,1.0,2.0,17.0,2.0,4.0,0.0,1.0,1.0,39.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.0,39.0,0.0,1.0,191.0,16.0,16.0,1.0,37.0
2011,43.4.xml,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,39.0,0.0,0.0,1.0,37.0,0.0,1.0,1.0,2.0,17.0,2.0,4.0,0.0,1.0,1.0,39.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.0,39.0,0.0,1.0,253.0,16.0,16.0,1.0,37.0
2011,43.5.xml,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,39.0,0.0,0.0,1.0,37.0,0.0,1.0,1.0,2.0,17.0,2.0,4.0,0.0,1.0,1.0,39.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39.0,39.0,0.0,1.0,253.0,16.0,16.0,1.0,37.0
2011,44.3.xml,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,11.0,2.0,4.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,1.0,125.0,7.0,7.0,1.0,10.0
2011,44.4.xml,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,11.0,2.0,4.0,0.0,1.0,1.0,12.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,0.0,1.0,183.0,7.0,7.0,1.0,10.0
2011,44.5.xml,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,2.0,11.0,2.0,4.0,0.0,1.0,1.0,12.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,0.0,1.0,183.0,7.0,7.0,1.0,10.0
2011,45.1.xml,1.0,0.0,108.0,3.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,32.0,2.0,7.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,721.0,0.0,0.0,0.0,1.0
2011,45.2.xml,1.0,0.0,108.0,3.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,32.0,2.0,7.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,720.0,0.0,0.0,0.0,1.0
2011,45.3.xml,1.0,0.0,108.0,3.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,0.0,32.0,2.0,7.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,748.0,0.0,0.0,0.0,1.0
2011,45.6.xml,1.0,0.0,114.0,3.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,47.0,2.0,8.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,808.0,0.0,0.0,0.0,1.0
2011,45.7.xml,1.0,0.0,114.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,46.0,2.0,8.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,806.0,0.0,0.0,0.0,1.0
2011,45.8.xml,1.0,0.0,114.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,46.0,2.0,8.0,0.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,806.0,0.0,0.0,0.0,1.0
2011,49.2.xml,1.0,0.0,29.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,32.0,3.0,6.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,337.0,0.0,0.0,0.0,4.0
2011,49.4.xml,1.0,0.0,24.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,32.0,3.0,6.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,311.0,0.0,0.0,0.0,5.0
2011,49.5.xml,1.0,0.0,24.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,32.0,3.0,6.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,260.0,0.0,0.0,0.0,4.0
2011,49.6.xml,1.0,0.0,24.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,32.0,3.0,6.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,260.0,0.0,0.0,0.0,4.0
2011,49.7.xml,1.0,0.0,24.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,32.0,3.0,6.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,260.0,0.0,0.0,0.0,4.0
