Collection,Record,Abstract,Attribute Constraints,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Email Address,Author / Originator Identifier,Author / Originator Identifier Type,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Modified Date,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Parent Identifier,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Revision Date,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2015,1.11.xml,1.0,0.0,9.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,13.0,0.0,0.0,1.0,12.0,0.0,1.0,1.0,0.0,20.0,1.0,4.0,0.0,1.0,0.0,1.0,12.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,12.0,13.0,0.0,0.0,0.0,0.0,245.0,13.0,13.0,1.0,12.0
2015,10.21.xml,1.0,0.0,74.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,16.0,3.0,3.0,1.0,16.0,1.0,3.0,3.0,3.0,46.0,2.0,6.0,0.0,1.0,0.0,1.0,16.0,3.0,1.0,0.0,6.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,16.0,16.0,1.0,0.0,0.0,1.0,743.0,0.0,0.0,0.0,16.0
2015,1001.7.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,889.0,30.0,30.0,1.0,33.0
2015,1002.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,889.0,30.0,30.0,1.0,33.0
2015,1003.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,889.0,30.0,30.0,1.0,33.0
2015,1004.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,885.0,30.0,30.0,1.0,33.0
2015,1005.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,884.0,30.0,30.0,1.0,33.0
2015,1006.8.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,885.0,30.0,30.0,1.0,33.0
2015,1007.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,885.0,30.0,30.0,1.0,33.0
2015,1008.6.xml,1.0,0.0,89.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,33.0,3.0,3.0,1.0,33.0,1.0,3.0,3.0,1.0,33.0,1.0,2.0,0.0,1.0,0.0,1.0,31.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,31.0,33.0,1.0,0.0,0.0,1.0,885.0,30.0,30.0,1.0,33.0
