Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator Identifier,Author / Originator World Wide Web Address,Bounding Box,Contributor Name,Contributor Role,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Instrument,Keyword,Keyword Type,Keyword Vocabulary,Metadata Access Constraints,Metadata Use Constraints,Northernmost Latitude,Organization Name,Originating Organization,Place Keyword,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Distribution,Resource Format,Resource Identifier,Resource Identifier Type,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Use Constraints,Resource on-line Link,Responsible Party Identifier,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Taxonomic Extent,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2016,101.1.xml,1.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,12.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,240.0,0.0,0.0,0.0,2.0
2016,102.1.xml,1.0,8.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,301.0,0.0,0.0,0.0,1.0
2016,103.1.xml,1.0,4.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,257.0,0.0,0.0,0.0,1.0
2016,103.2.xml,1.0,4.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,214.0,0.0,0.0,0.0,1.0
2016,103.3.xml,1.0,4.0,1.0,6.0,6.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,257.0,0.0,0.0,0.0,1.0
2016,104.1.xml,1.0,8.0,2.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,14.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,329.0,0.0,0.0,0.0,2.0
2016,13.20.xml,1.0,5.0,1.0,2.0,2.0,2.0,2.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,17.0,2.0,3.0,1.0,1.0,11.0,3.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,233.0,0.0,0.0,0.0,11.0
2016,15.24.xml,1.0,23.0,1.0,2.0,2.0,2.0,2.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,20.0,2.0,3.0,1.0,1.0,11.0,3.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,302.0,0.0,0.0,0.0,11.0
2016,17.29.xml,1.0,30.0,1.0,2.0,2.0,2.0,2.0,11.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,17.0,2.0,3.0,1.0,1.0,11.0,3.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,0.0,1.0,330.0,0.0,0.0,0.0,11.0
2016,18.19.xml,1.0,12.0,1.0,2.0,2.0,2.0,2.0,11.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,19.0,3.0,2.0,1.0,1.0,11.0,3.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,11.0,11.0,1.0,1.0,1.0,287.0,0.0,0.0,0.0,11.0
