XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,SEV_2012_EML,101,101,101,101.0
/eml:eml/@packageId,SEV_2012_EML,101,101,1.00,1.0
/eml:eml/@system,SEV_2012_EML,101,101,1.00,1.0
/eml:eml/@xsi:schemaLocation,SEV_2012_EML,101,101,1.00,1.0
/eml:eml/access/@authSystem,SEV_2012_EML,101,101,1.00,1.0
/eml:eml/access/@order,SEV_2012_EML,101,101,1.00,1.0
/eml:eml/access/@scope,SEV_2012_EML,101,101,1.00,1.0
/eml:eml/access/allow/permission,SEV_2012_EML,202,101,2.00,1.0
/eml:eml/access/allow/principal,SEV_2012_EML,202,101,2.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,SEV_2012_EML,34,34,0.34,0.33663366336633666
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,SEV_2012_EML,36,28,0.36,0.27722772277227725
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,SEV_2012_EML,8,5,0.08,0.04950495049504951
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,SEV_2012_EML,49,34,0.49,0.33663366336633666
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,SEV_2012_EML,8,5,0.08,0.04950495049504951
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,SEV_2012_EML,36,28,0.36,0.27722772277227725
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,SEV_2012_EML,8,5,0.08,0.04950495049504951
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,SEV_2012_EML,36,28,0.36,0.27722772277227725
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,SEV_2012_EML,13,7,0.13,0.06930693069306931
/eml:eml/dataset/abstract/section/para,SEV_2012_EML,101,101,1.00,1.0
/eml:eml/dataset/additionalInfo/para/literalLayout,SEV_2012_EML,54,54,0.53,0.5346534653465347
