Collection,Record,Resource Quality Description,Unknown
2013,236.35573.xml,0.0,147.0
2013,236.35615.xml,0.0,147.0
2013,238.54677.xml,0.0,137.0
2013,238.54701.xml,0.0,138.0
2013,238.54739.xml,0.0,138.0
2013,239.43944.xml,0.0,50.0
2013,259.25864.xml,0.0,105.0
2013,287.132380.xml,1.0,202.0
2013,287.132749.xml,1.0,203.0
2013,288.118787.xml,0.0,191.0
2013,288.119411.xml,0.0,191.0
2013,290.29048.xml,0.0,64.0
2013,290.29056.xml,0.0,82.0
2013,290.29574.xml,0.0,82.0
2013,291.43686.xml,0.0,90.0
2013,292.24406.xml,0.0,84.0
2013,292.24407.xml,0.0,84.0
2013,293.24467.xml,0.0,84.0
