XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2013_EML,18,18,1.00,100.00%
/eml:eml/@packageId,2013_EML,18,18,1.00,100.00%
/eml:eml/@system,2013_EML,18,18,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2013_EML,18,18,1.00,100.00%
/eml:eml/access/@authSystem,2013_EML,18,18,1.00,100.00%
/eml:eml/access/@order,2013_EML,18,18,1.00,100.00%
/eml:eml/access/@scope,2013_EML,18,18,1.00,100.00%
/eml:eml/access/allow/permission,2013_EML,36,18,2.00,100.00%
/eml:eml/access/allow/principal,2013_EML,36,18,2.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,2013_EML,9,9,0.50,50.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,2013_EML,7,7,0.39,38.89%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,2013_EML,3,3,0.17,16.67%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2013_EML,9,9,0.50,50.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,2013_EML,3,3,0.17,16.67%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,2013_EML,7,7,0.39,38.89%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,2013_EML,3,3,0.17,16.67%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,2013_EML,7,7,0.39,38.89%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,2013_EML,5,5,0.28,27.78%
/eml:eml/dataset/abstract/section/para,2013_EML,18,18,1.00,100.00%
/eml:eml/dataset/additionalInfo/para/literalLayout,2013_EML,12,12,0.67,66.67%
/eml:eml/dataset/associatedParty/address/administrativeArea,2013_EML,10,10,0.56,55.56%
/eml:eml/dataset/associatedParty/address/city,2013_EML,10,10,0.56,55.56%
/eml:eml/dataset/associatedParty/address/deliveryPoint,2013_EML,14,10,0.78,55.56%
/eml:eml/dataset/associatedParty/address/postalCode,2013_EML,14,10,0.78,55.56%
/eml:eml/dataset/associatedParty/electronicMailAddress,2013_EML,44,17,2.44,94.44%
/eml:eml/dataset/associatedParty/individualName/givenName,2013_EML,44,17,2.44,94.44%
/eml:eml/dataset/associatedParty/individualName/surName,2013_EML,44,17,2.44,94.44%
/eml:eml/dataset/associatedParty/organizationName,2013_EML,17,17,0.94,94.44%
/eml:eml/dataset/associatedParty/phone,2013_EML,6,6,0.33,33.33%
/eml:eml/dataset/associatedParty/phone/@phonetype,2013_EML,6,6,0.33,33.33%
/eml:eml/dataset/associatedParty/role,2013_EML,28,17,1.56,94.44%
/eml:eml/dataset/associatedParty/userId,2013_EML,10,10,0.56,55.56%
/eml:eml/dataset/associatedParty/userId/@directory,2013_EML,10,10,0.56,55.56%
/eml:eml/dataset/contact/address/administrativeArea,2013_EML,4,4,0.22,22.22%
/eml:eml/dataset/contact/address/city,2013_EML,17,17,0.94,94.44%
/eml:eml/dataset/contact/address/deliveryPoint,2013_EML,21,17,1.17,94.44%
/eml:eml/dataset/contact/address/postalCode,2013_EML,17,17,0.94,94.44%
/eml:eml/dataset/contact/electronicMailAddress,2013_EML,22,18,1.22,100.00%
/eml:eml/dataset/contact/individualName/givenName,2013_EML,22,18,1.22,100.00%
/eml:eml/dataset/contact/individualName/surName,2013_EML,22,18,1.22,100.00%
/eml:eml/dataset/contact/organizationName,2013_EML,18,18,1.00,100.00%
/eml:eml/dataset/contact/phone,2013_EML,26,13,1.44,72.22%
/eml:eml/dataset/contact/phone/@phonetype,2013_EML,26,13,1.44,72.22%
/eml:eml/dataset/contact/userId,2013_EML,4,4,0.22,22.22%
/eml:eml/dataset/contact/userId/@directory,2013_EML,4,4,0.22,22.22%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,2013_EML,10,9,0.56,50.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,2013_EML,10,9,0.56,50.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,2013_EML,9,9,0.50,50.00%
