Concept,SEV_2005_EML,SEV_2006_EML,SEV_2007_EML,SEV_2008_EML,SEV_2009_EML,SEV_2011_EML,SEV_2012_EML,SEV_2013_EML,SEV_2014_EML,SEV_2015_EML,SEV_2016_EML
Resource Identifier,0.3870967741935484,0.5833333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,0.3870967741935484,0.5833333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,0.3870967741935484,0.5833333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.3225806451612903,0.5,0.7142857142857143,1.0,1.0,0.5795148247978437,0.6039603960396039,0.0,0.0,0.09608540925266904,0.9358974358974358
Contributor Name,0.12903225806451613,0.08333333333333333,0.14285714285714285,1.0,0.5,0.6738544474393531,0.7920792079207921,0.9444444444444444,1.0,0.8078291814946619,0.6858974358974359
Publisher,0.03225806451612903,0.08333333333333333,0.7142857142857143,1.0,0.5,0.2506738544474393,0.32673267326732675,0.0,0.0,0.10676156583629894,0.9615384615384616
Publication Date,0.2903225806451613,0.3333333333333333,0.0,0.0,0.5,0.7978436657681941,0.27722772277227725,0.05555555555555555,0.3333333333333333,0.8469750889679716,1.0
Resource Contact,0.3870967741935484,0.5833333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,0.3548387096774194,0.5833333333333334,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,0.99644128113879,1.0
Keyword,0.2903225806451613,0.5833333333333334,0.42857142857142855,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,0.25806451612903225,0.5,0.7142857142857143,1.0,0.5,0.9460916442048516,0.7920792079207921,1.0,1.0,0.98932384341637,0.9871794871794872
Spatial Extent,0.3548387096774194,0.5833333333333334,0.5714285714285714,1.0,1.0,0.8921832884097035,0.8316831683168316,0.5,0.6666666666666666,0.8291814946619217,0.9423076923076924
Taxonomic Extent,0.0967741935483871,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641
Temporal Extent,0.3225806451612903,0.5833333333333334,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,0.99644128113879,1.0
Maintenance,0.03225806451612903,0.16666666666666666,0.7142857142857143,1.0,1.0,0.7493261455525606,0.06930693069306931,0.0,0.6666666666666666,0.5587188612099644,0.5512820512820513
Resource Use Constraints,0.3870967741935484,0.5833333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.3548387096774194,0.5833333333333334,0.7142857142857143,1.0,1.0,0.9865229110512128,0.99009900990099,0.8333333333333334,1.0,0.9786476868327402,0.9743589743589745
Project Description,0.25806451612903225,0.5833333333333334,0.7142857142857143,1.0,0.5,0.0,0.0,0.0,0.0,0.010676156583629894,0.01282051282051282
Entity Type Definition,0.03225806451612903,0.08333333333333333,0.0,0.0,0.0,0.8598382749326146,0.2871287128712871,0.3333333333333333,1.0,0.900355871886121,0.9487179487179488
Attribute Definition,0.12903225806451613,0.16666666666666666,0.7142857142857143,1.0,0.5,0.9137466307277629,0.4653465346534654,0.5555555555555556,1.0,1.0,1.0
Resource Access Constraints,0.0967741935483871,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.0967741935483871,0.08333333333333333,0.0,0.0,0.0,0.9137466307277629,0.4653465346534654,0.5555555555555556,1.0,1.0,1.0
Attribute List,0.12903225806451613,0.16666666666666666,0.7142857142857143,1.0,0.5,0.9137466307277629,0.4653465346534654,0.5555555555555556,1.0,1.0,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.6451612903225806,0.5,0.2857142857142857,0.0,0.0,0.2452830188679245,0.1485148514851485,0.1111111111111111,0.0,0.23487544483985764,0.2692307692307692
