XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,SGS_2015_EML,109,109,109,109.0
/eml:eml/@packageId,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/@scope,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/@system,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/@xsi:schemaLocation,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/access/@authSystem,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/access/@order,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/access/@scope,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/access/@system,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/access/allow/permission,SGS_2015_EML,218,109,2.00,1.0
/eml:eml/access/allow/principal,SGS_2015_EML,218,109,2.00,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,SGS_2015_EML,91,91,0.83,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,SGS_2015_EML,14698,91,134.84,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,SGS_2015_EML,9282,91,85.16,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,SGS_2015_EML,14698,91,134.84,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,SGS_2015_EML,9282,91,85.16,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,SGS_2015_EML,14698,91,134.84,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,SGS_2015_EML,9282,91,85.16,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,SGS_2015_EML,14698,91,134.84,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,SGS_2015_EML,14147,91,129.79,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,SGS_2015_EML,4368,91,40.07,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,SGS_2015_EML,4368,91,40.07,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,SGS_2015_EML,9282,91,85.16,0.8348623853211009
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,SGS_2015_EML,5642,91,51.76,0.8348623853211009
/eml:eml/dataset/abstract/para,SGS_2015_EML,2,1,0.02,0.009174311926605505
/eml:eml/dataset/abstract/section/para,SGS_2015_EML,214,108,1.96,0.9908256880733946
/eml:eml/dataset/additionalInfo/section/para,SGS_2015_EML,1,1,0.01,0.009174311926605505
/eml:eml/dataset/additionalInfo/section/title,SGS_2015_EML,1,1,0.01,0.009174311926605505
/eml:eml/dataset/alternateIdentifier,SGS_2015_EML,109,109,1.00,1.0
/eml:eml/dataset/contact/address/administrativeArea,SGS_2015_EML,219,109,2.01,1.0
/eml:eml/dataset/contact/address/city,SGS_2015_EML,219,109,2.01,1.0
/eml:eml/dataset/contact/address/country,SGS_2015_EML,219,109,2.01,1.0
/eml:eml/dataset/contact/address/deliveryPoint,SGS_2015_EML,328,109,3.01,1.0
/eml:eml/dataset/contact/address/postalCode,SGS_2015_EML,219,109,2.01,1.0
/eml:eml/dataset/contact/electronicMailAddress,SGS_2015_EML,219,109,2.01,1.0
/eml:eml/dataset/contact/individualName/givenName,SGS_2015_EML,110,109,1.01,1.0
/eml:eml/dataset/contact/individualName/surName,SGS_2015_EML,110,109,1.01,1.0
