Concept,SGS_2011_EML,SGS_2012_EML,SGS_2013_EML,SGS_2015_EML
Resource Identifier,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0
Metadata Contact,1.0,1.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0
Publisher,1.0,1.0,1.0,1.0
Publication Date,1.0,1.0,1.0,1.0
Resource Contact,1.0,1.0,1.0,2.01
Abstract,0.98,1.0,1.0,1.0
Keyword,5.96,6.96,9.0,5.75
Resource Distribution,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0
Taxonomic Extent,0.0,0.0,0.0,0.0
Temporal Extent,1.0,1.0,1.0,1.0
Maintenance,0.0,0.0,0.0,0.0
Resource Use Constraints,1.0,1.0,1.0,1.0
Process Step,0.8,0.88,1.0,0.92
Project Description,0.0,0.0,0.0,1.0
Entity Type Definition,0.0,0.0,0.0,0.0
Attribute Definition,14.6,21.29,16.33,14.96
Resource Access Constraints,0.92,1.0,1.0,1.0
Resource Format,0.69,0.98,1.0,0.83
Attribute List,0.75,0.98,1.0,0.83
Attribute Constraints,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0
