Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,Sample_Sample,117,117,1.00,100.00%
Abstract,Sample_Sample,117,117,1.00,100.00%
Acknowledgement,Sample_Sample,191,115,1.63,98.29%
Address,Sample_Sample,592,117,5.06,100.00%
AssociatedDIFs,Sample_Sample,261,117,2.23,100.00%
Association,Sample_Sample,261,117,2.23,100.00%
Attribute Definition,Sample_Sample,4132,117,35.32,100.00%
Attribute Label,Sample_Sample,4385,117,37.48,100.00%
Author / Originator,Sample_Sample,125,117,1.07,100.00%
Bounding Box,Sample_Sample,88,88,0.75,75.21%
Cited Resource Identifier,Sample_Sample,2,2,0.02,1.71%
Cited Resource Title,Sample_Sample,1700,117,14.53,100.00%
City,Sample_Sample,591,117,5.05,100.00%
Contact Instructions,Sample_Sample,468,117,4.00,100.00%
Country,Sample_Sample,579,117,4.95,100.00%
Data Quality Scope,Sample_Sample,117,117,1.00,100.00%
DataType,Sample_Sample,1954,117,16.70,100.00%
DimensionsName,Sample_Sample,4385,117,37.48,100.00%
Distribution Contact,Sample_Sample,117,117,1.00,100.00%
Easternmost Longitude,Sample_Sample,88,88,0.75,75.21%
Email,Sample_Sample,589,117,5.03,100.00%
End Time,Sample_Sample,9,9,0.08,7.69%
Enumerated Domain Value Definition Source,Sample_Sample,571,117,4.88,100.00%
Fax,Sample_Sample,468,117,4.00,100.00%
Feature Catalogue Citation,Sample_Sample,234,117,2.00,100.00%
First Name,Sample_Sample,408,117,3.49,100.00%
Geographic Description,Sample_Sample,117,117,1.00,100.00%
Hours of Service,Sample_Sample,468,117,4.00,100.00%
Instrument,Sample_Sample,268,103,2.29,88.03%
Instrument Keyword,Sample_Sample,268,103,2.29,88.03%
Instrument Keyword Vocabulary,Sample_Sample,103,103,0.88,88.03%
Instrument Short Name,Sample_Sample,242,103,2.07,88.03%
Instrument Type,Sample_Sample,242,103,2.07,88.03%
Keyword,Sample_Sample,4230,117,36.15,100.00%
Keyword Type,Sample_Sample,571,117,4.88,100.00%
Keyword Vocabulary,Sample_Sample,571,117,4.88,100.00%
Keyword Vocabulary Citation,Sample_Sample,571,117,4.88,100.00%
Last Name,Sample_Sample,408,117,3.49,100.00%
Metadata Access Constraints,Sample_Sample,117,117,1.00,100.00%
Metadata Association,Sample_Sample,261,117,2.23,100.00%
Metadata Contact,Sample_Sample,117,117,1.00,100.00%
Metadata Dates,Sample_Sample,117,117,1.00,100.00%
Metadata Identifier,Sample_Sample,117,117,1.00,100.00%
Metadata Language,Sample_Sample,117,117,1.00,100.00%
Metadata Modified Date,Sample_Sample,117,117,1.00,100.00%
Metadata Standard Citation,Sample_Sample,117,117,1.00,100.00%
Metadata Standard Version,Sample_Sample,117,117,1.00,100.00%
Middle Name,Sample_Sample,408,117,3.49,100.00%
Name,Sample_Sample,4385,117,37.48,100.00%
