Collection,Record,Abstract,Attribute Definition,Attribute List,Author,Author / Originator,Author / Originator World Wide Web Address,Bounding Box,Distribution Format,Easternmost Longitude,End Time,Entity Type Definition,Entity and Attribute Information,Keyword,Keyword Type,Keyword Vocabulary,Maintenance,Metadata Access Constraints,Metadata Contact,Metadata Use Constraints,Northernmost Latitude,Organization Name,Parent Identifier,Process Step,Project Description,Project Name,Publication Date,Publisher,Related Resource Citation,Related Resource Identifier,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Format,Resource Identifier,Resource Identifier Type,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Update Frequency,Resource Use Constraints,Rights,Security Constraints,Southernmost Latitude,Spatial Extent,Start Time,Supplemental Information,Temporal Extent,Unknown,Vertical Maximum,Vertical Minimum,Vertical Resolution,Westernmost Longitude
2008,124.14.xml,1.0,14.0,1.0,3.0,3.0,3.0,7.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,248.0,0.0,0.0,0.0,7.0
2008,124.15.xml,1.0,14.0,1.0,3.0,3.0,3.0,7.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,259.0,0.0,0.0,0.0,7.0
2008,124.17.xml,1.0,14.0,1.0,3.0,3.0,3.0,7.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,234.0,0.0,0.0,0.0,7.0
2008,124.18.xml,1.0,14.0,1.0,3.0,3.0,3.0,7.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,234.0,0.0,0.0,0.0,7.0
2008,124.19.xml,1.0,14.0,1.0,3.0,3.0,3.0,7.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,234.0,0.0,0.0,0.0,7.0
2008,124.21.xml,1.0,14.0,1.0,3.0,3.0,3.0,7.0,1.0,7.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,234.0,0.0,0.0,0.0,7.0
2008,124.5.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0
2008,124.6.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0
2008,154.16.xml,0.0,14.0,1.0,1.0,1.0,1.0,14.0,1.0,14.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,18.0,1.0,0.0,1.0,262.0,1.0,1.0,1.0,12.0
2008,154.18.xml,0.0,14.0,1.0,1.0,1.0,1.0,14.0,1.0,14.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,18.0,1.0,0.0,1.0,262.0,1.0,1.0,1.0,12.0
