XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,VCR_2011_EML,12,12,12,12.0
/eml:eml/@packageId,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/@scope,VCR_2011_EML,5,5,0.42,0.4166666666666667
/eml:eml/@system,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/@xsi:schemaLocation,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/access/@authSystem,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/access/@order,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/access/@scope,VCR_2011_EML,5,5,0.42,0.4166666666666667
/eml:eml/access/allow/permission,VCR_2011_EML,24,12,2.00,1.0
/eml:eml/access/allow/principal,VCR_2011_EML,24,12,2.00,1.0
/eml:eml/additionalMetadata/metadata/localtags/projectId,VCR_2011_EML,6,6,0.50,0.5
/eml:eml/additionalMetadata/metadata/localtags/system,VCR_2011_EML,10,10,0.83,0.8333333333333334
/eml:eml/additionalMetadata/metadata/localtags/weight,VCR_2011_EML,10,10,0.83,0.8333333333333334
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,VCR_2011_EML,2,2,0.17,0.16666666666666666
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,VCR_2011_EML,6,2,0.50,0.16666666666666666
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,VCR_2011_EML,18,6,1.50,0.5
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,VCR_2011_EML,6,2,0.50,0.16666666666666666
/eml:eml/dataset/@id,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/@scope,VCR_2011_EML,5,5,0.42,0.4166666666666667
/eml:eml/dataset/@system,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/abstract/para,VCR_2011_EML,13,12,1.08,1.0
/eml:eml/dataset/additionalInfo/section/para/orderedlist/listitem/para,VCR_2011_EML,6,6,0.50,0.5
/eml:eml/dataset/additionalInfo/section/title,VCR_2011_EML,6,6,0.50,0.5
/eml:eml/dataset/alternateIdentifier,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/contact/@id,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/contact/@scope,VCR_2011_EML,8,5,0.67,0.4166666666666667
/eml:eml/dataset/contact/address/@scope,VCR_2011_EML,8,5,0.67,0.4166666666666667
/eml:eml/dataset/contact/address/administrativeArea,VCR_2011_EML,19,12,1.58,1.0
/eml:eml/dataset/contact/address/city,VCR_2011_EML,19,12,1.58,1.0
/eml:eml/dataset/contact/address/country,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/contact/address/deliveryPoint,VCR_2011_EML,19,12,1.58,1.0
/eml:eml/dataset/contact/address/postalCode,VCR_2011_EML,19,12,1.58,1.0
/eml:eml/dataset/contact/electronicMailAddress,VCR_2011_EML,19,12,1.58,1.0
/eml:eml/dataset/contact/individualName/givenName,VCR_2011_EML,7,7,0.58,0.5833333333333334
/eml:eml/dataset/contact/individualName/salutation,VCR_2011_EML,7,7,0.58,0.5833333333333334
/eml:eml/dataset/contact/individualName/surName,VCR_2011_EML,7,7,0.58,0.5833333333333334
/eml:eml/dataset/contact/onlineUrl,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/contact/phone,VCR_2011_EML,38,12,3.17,1.0
/eml:eml/dataset/contact/phone/@phonetype,VCR_2011_EML,38,12,3.17,1.0
/eml:eml/dataset/contact/positionName,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/contact/userId,VCR_2011_EML,5,5,0.42,0.4166666666666667
/eml:eml/dataset/contact/userId/@directory,VCR_2011_EML,5,5,0.42,0.4166666666666667
/eml:eml/dataset/coverage/@scope,VCR_2011_EML,5,5,0.42,0.4166666666666667
/eml:eml/dataset/coverage/geographicCoverage/@scope,VCR_2011_EML,5,5,0.42,0.4166666666666667
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,VCR_2011_EML,6,6,0.50,0.5
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,VCR_2011_EML,6,6,0.50,0.5
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,VCR_2011_EML,6,6,0.50,0.5
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,VCR_2011_EML,12,12,1.00,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,VCR_2011_EML,12,12,1.00,1.0
