Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2012_EML,105,105,1.00,100.00%
Abstract,2012_EML,76,76,0.72,72.38%
Attribute Definition,2012_EML,939,86,8.94,81.90%
Attribute List,2012_EML,86,86,0.82,81.90%
Author,2012_EML,185,104,1.76,99.05%
Author / Originator,2012_EML,185,104,1.76,99.05%
Author / Originator Email Address,2012_EML,3,3,0.03,2.86%
Author / Originator World Wide Web Address,2012_EML,174,93,1.66,88.57%
Bounding Box,2012_EML,246,104,2.34,99.05%
Distribution Format,2012_EML,86,86,0.82,81.90%
Easternmost Longitude,2012_EML,239,104,2.28,99.05%
End Time,2012_EML,78,78,0.74,74.29%
Entity Type Definition,2012_EML,86,86,0.82,81.90%
Entity and Attribute Information,2012_EML,86,86,0.82,81.90%
Keyword,2012_EML,536,104,5.10,99.05%
Keyword Type,2012_EML,104,104,0.99,99.05%
Keyword Vocabulary,2012_EML,149,104,1.42,99.05%
Maintenance,2012_EML,104,104,0.99,99.05%
Metadata Access Constraints,2012_EML,104,104,0.99,99.05%
Metadata Contact,2012_EML,104,104,0.99,99.05%
Metadata Use Constraints,2012_EML,104,104,0.99,99.05%
Northernmost Latitude,2012_EML,246,104,2.34,99.05%
Organization Name,2012_EML,211,104,2.01,99.05%
Originating Organization,2012_EML,3,3,0.03,2.86%
Parent Identifier,2012_EML,52,52,0.50,49.52%
Process Step,2012_EML,68,68,0.65,64.76%
Project Description,2012_EML,59,59,0.56,56.19%
Project Name,2012_EML,174,93,1.66,88.57%
Publication Date,2012_EML,95,95,0.90,90.48%
Publisher,2012_EML,104,104,0.99,99.05%
Related Resource Citation,2012_EML,59,59,0.56,56.19%
Related Resource Identifier,2012_EML,52,52,0.50,49.52%
Resource Access Constraints,2012_EML,104,104,0.99,99.05%
Resource Contact,2012_EML,221,104,2.10,99.05%
Resource Creation/Revision Date,2012_EML,95,95,0.90,90.48%
Resource Format,2012_EML,86,86,0.82,81.90%
Resource Identifier,2012_EML,104,104,0.99,99.05%
Resource Identifier Type,2012_EML,104,104,0.99,99.05%
Resource Lineage,2012_EML,68,68,0.65,64.76%
Resource Long Name,2012_EML,104,104,0.99,99.05%
Resource Status,2012_EML,104,104,0.99,99.05%
Resource Title,2012_EML,104,104,0.99,99.05%
Resource Update Frequency,2012_EML,104,104,0.99,99.05%
Resource Use Constraints,2012_EML,104,104,0.99,99.05%
Rights,2012_EML,104,104,0.99,99.05%
Security Constraints,2012_EML,104,104,0.99,99.05%
Southernmost Latitude,2012_EML,246,104,2.34,99.05%
Spatial Extent,2012_EML,255,104,2.43,99.05%
Start Time,2012_EML,78,78,0.74,74.29%
Supplemental Information,2012_EML,29,29,0.28,27.62%
Temporal Extent,2012_EML,104,104,0.99,99.05%
Unknown,2012_EML,19470,105,185.43,100.00%
Vertical Maximum,2012_EML,48,48,0.46,45.71%
Vertical Minimum,2012_EML,48,48,0.46,45.71%
Vertical Resolution,2012_EML,48,48,0.46,45.71%
Westernmost Longitude,2012_EML,239,104,2.28,99.05%
