Concept,Collection,ConceptCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,VCR_2014_EML,30.0,30.0,1.0,1.0
Resource Identifier,VCR_2014_EML,30.0,30.0,1.0,1.0
Resource Title,VCR_2014_EML,30.0,30.0,1.0,1.0
Author / Originator,VCR_2014_EML,52.0,30.0,1.73,1.0
Metadata Contact,VCR_2014_EML,30.0,30.0,1.0,1.0
Contributor Name,VCR_2014_EML,0.0,0.0,0.0,0.0
Publisher,VCR_2014_EML,30.0,30.0,1.0,1.0
Publication Date,VCR_2014_EML,30.0,30.0,1.0,1.0
Resource Contact,VCR_2014_EML,87.0,30.0,2.9,1.0
Abstract,VCR_2014_EML,30.0,30.0,1.0,1.0
Keyword,VCR_2014_EML,179.0,30.0,5.97,1.0
Resource Distribution,VCR_2014_EML,0.0,0.0,0.0,0.0
Spatial Extent,VCR_2014_EML,71.0,30.0,2.37,1.0
Taxonomic Extent,VCR_2014_EML,0.0,0.0,0.0,0.0
Temporal Extent,VCR_2014_EML,30.0,30.0,1.0,1.0
Maintenance,VCR_2014_EML,30.0,30.0,1.0,1.0
Resource Use Constraints,VCR_2014_EML,30.0,30.0,1.0,1.0
Process Step,VCR_2014_EML,28.0,28.0,0.93,0.9333333333333332
Project Description,VCR_2014_EML,3.0,3.0,0.1,0.1
Entity Type Definition,VCR_2014_EML,5.0,5.0,0.17,0.16666666666666666
Attribute Definition,VCR_2014_EML,39.0,5.0,1.3,0.16666666666666666
Resource Access Constraints,VCR_2014_EML,30.0,30.0,1.0,1.0
Resource Format,VCR_2014_EML,5.0,5.0,0.17,0.16666666666666666
Attribute List,VCR_2014_EML,5.0,5.0,0.17,0.16666666666666666
Attribute Constraints,VCR_2014_EML,0.0,0.0,0.0,0.0
Resource Quality Description,VCR_2014_EML,0.0,0.0,0.0,0.0
