XPath,Collection,XPathCount,RecordCount,AverageOccurrencePerRecord,CollectionOccurrence%
Number of Records,2014_EML,30,30,1.00,100.00%
/eml:eml/@packageId,2014_EML,30,30,1.00,100.00%
/eml:eml/@system,2014_EML,30,30,1.00,100.00%
/eml:eml/@xsi:schemaLocation,2014_EML,30,30,1.00,100.00%
/eml:eml/access,2014_EML,150,30,5.00,100.00%
/eml:eml/access/@authSystem,2014_EML,30,30,1.00,100.00%
/eml:eml/access/@order,2014_EML,30,30,1.00,100.00%
/eml:eml/access/allow/permission,2014_EML,60,30,2.00,100.00%
/eml:eml/access/allow/principal,2014_EML,60,30,2.00,100.00%
/eml:eml/additionalMetadata/metadata/localtags/projectId,2014_EML,3,3,0.10,10.00%
/eml:eml/additionalMetadata/metadata/localtags/system,2014_EML,30,30,1.00,100.00%
/eml:eml/additionalMetadata/metadata/localtags/weight,2014_EML,30,30,1.00,100.00%
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2014_EML,22,12,0.73,40.00%
/eml:eml/dataset/@id,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/@system,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/abstract,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/abstract/para,2014_EML,129,30,4.30,100.00%
/eml:eml/dataset/additionalInfo,2014_EML,15,15,0.50,50.00%
/eml:eml/dataset/additionalInfo/section/para,2014_EML,30,13,1.00,43.33%
/eml:eml/dataset/additionalInfo/section/para/orderedlist/listitem/para,2014_EML,4,3,0.13,10.00%
/eml:eml/dataset/additionalInfo/section/title,2014_EML,16,15,0.53,50.00%
/eml:eml/dataset/alternateIdentifier,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/alternateIdentifier/@system,2014_EML,1,1,0.03,3.33%
/eml:eml/dataset/contact,2014_EML,87,30,2.90,100.00%
/eml:eml/dataset/contact/@id,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/contact/address/administrativeArea,2014_EML,34,30,1.13,100.00%
/eml:eml/dataset/contact/address/city,2014_EML,48,30,1.60,100.00%
/eml:eml/dataset/contact/address/country,2014_EML,31,30,1.03,100.00%
/eml:eml/dataset/contact/address/deliveryPoint,2014_EML,87,30,2.90,100.00%
/eml:eml/dataset/contact/address/postalCode,2014_EML,71,30,2.37,100.00%
/eml:eml/dataset/contact/electronicMailAddress,2014_EML,85,30,2.83,100.00%
/eml:eml/dataset/contact/individualName/givenName,2014_EML,54,30,1.80,100.00%
/eml:eml/dataset/contact/individualName/salutation,2014_EML,11,11,0.37,36.67%
/eml:eml/dataset/contact/individualName/surName,2014_EML,57,30,1.90,100.00%
/eml:eml/dataset/contact/onlineUrl,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/contact/phone,2014_EML,127,30,4.23,100.00%
/eml:eml/dataset/contact/phone/@phonetype,2014_EML,60,30,2.00,100.00%
/eml:eml/dataset/contact/positionName,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/contact/userId,2014_EML,46,30,1.53,100.00%
/eml:eml/dataset/contact/userId/@directory,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/coverage/geographicCoverage,2014_EML,71,30,2.37,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,2014_EML,32,30,1.07,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,2014_EML,16,16,0.53,53.33%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,2014_EML,16,16,0.53,53.33%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,2014_EML,16,16,0.53,53.33%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,2014_EML,32,30,1.07,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,2014_EML,32,30,1.07,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,2014_EML,32,30,1.07,100.00%
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,2014_EML,32,30,1.07,100.00%
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,2014_EML,71,30,2.37,100.00%
/eml:eml/dataset/coverage/temporalCoverage,2014_EML,30,30,1.00,100.00%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,2014_EML,13,13,0.43,43.33%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,2014_EML,13,13,0.43,43.33%
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,2014_EML,13,13,0.43,43.33%
/eml:eml/dataset/coverage/temporalCoverage/singleDateTime/calendarDate,2014_EML,17,17,0.57,56.67%
/eml:eml/dataset/creator,2014_EML,104,30,3.47,100.00%
/eml:eml/dataset/creator/address/administrativeArea,2014_EML,37,25,1.23,83.33%
/eml:eml/dataset/creator/address/city,2014_EML,37,25,1.23,83.33%
/eml:eml/dataset/creator/address/country,2014_EML,20,20,0.67,66.67%
/eml:eml/dataset/creator/address/deliveryPoint,2014_EML,44,27,1.47,90.00%
/eml:eml/dataset/creator/address/postalCode,2014_EML,26,17,0.87,56.67%
/eml:eml/dataset/creator/electronicMailAddress,2014_EML,62,23,2.07,76.67%
/eml:eml/dataset/creator/individualName/givenName,2014_EML,30,16,1.00,53.33%
/eml:eml/dataset/creator/individualName/salutation,2014_EML,7,7,0.23,23.33%
/eml:eml/dataset/creator/individualName/surName,2014_EML,52,30,1.73,100.00%
/eml:eml/dataset/creator/phone,2014_EML,40,16,1.33,53.33%
/eml:eml/dataset/creator/phone/@phonetype,2014_EML,29,16,0.97,53.33%
/eml:eml/dataset/creator/userId,2014_EML,25,16,0.83,53.33%
/eml:eml/dataset/creator/userId/@directory,2014_EML,16,16,0.53,53.33%
