Concept,VCR_2005_EML,VCR_2006_EML,VCR_2007_EML,VCR_2008_EML,VCR_2009_EML,VCR_2010_EML,VCR_2011_EML,VCR_2012_EML,VCR_2013_EML,VCR_2014_EML,VCR_2015_EML,VCR_2016_EML,VCR_2017_EML,VCR_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.71,1.98,2.76,2.25,1.95,10.0,1.17,1.78,2.57,1.73,1.96,2.28,1.87,1.94
Metadata Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Contributor Name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Publisher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Publication Date,1.0,0.8,0.76,0.95,0.62,0.5,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0
Resource Contact,2.54,2.12,2.0,3.3,2.21,2.0,1.58,2.12,2.14,2.9,3.35,3.46,2.48,2.39
Abstract,0.56,0.9,0.8,0.85,0.86,1.0,1.0,0.73,1.0,1.0,0.71,0.79,0.61,0.79
Keyword,4.96,4.46,4.56,6.4,4.5,4.0,3.5,5.21,5.86,5.97,5.16,4.92,5.2,5.48
Resource Distribution,0.19,0.1,0.08,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spatial Extent,2.66,1.24,1.64,9.65,5.11,2.0,1.0,2.45,4.0,2.37,2.77,3.8,2.54,2.51
Taxonomic Extent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.07
Temporal Extent,0.95,1.0,0.88,1.0,0.97,0.5,1.0,1.0,1.0,1.0,0.99,0.98,1.0,0.99
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Use Constraints,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Step,0.58,0.48,1.0,0.45,0.58,1.0,0.0,0.65,0.43,0.93,0.56,0.57,0.63,0.76
Project Description,0.72,0.1,0.2,0.75,0.45,0.0,0.5,0.57,0.14,0.1,0.5,0.46,0.56,0.46
Entity Type Definition,0.88,0.72,0.8,0.8,0.8,0.0,0.5,0.83,0.14,0.17,0.8,0.81,0.96,0.87
Attribute Definition,10.0,9.9,92.4,12.25,12.55,0.0,8.0,9.03,1.0,1.3,10.7,13.29,14.33,12.78
Resource Access Constraints,0.81,0.9,0.92,0.85,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Format,0.88,0.72,0.8,0.8,0.8,0.0,0.5,0.83,0.14,0.17,0.8,0.81,0.96,0.87
Attribute List,0.88,0.72,0.8,0.8,0.8,0.0,0.5,0.83,0.14,0.17,0.8,0.81,0.96,0.87
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
