XPath,VCR_2005_EML,VCR_2006_EML,VCR_2007_EML,VCR_2008_EML,VCR_2009_EML,VCR_2010_EML,VCR_2011_EML,VCR_2012_EML,VCR_2013_EML,VCR_2014_EML,VCR_2015_EML,VCR_2016_EML,VCR_2017_EML,VCR_2018_EML
/eml:eml/@packageId,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@scope,0.62,0.4,0.28,0.3,0.45,0.33,0.42,0.13,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@authSystem,0.81,0.9,0.92,0.85,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@order,0.81,0.9,0.92,0.85,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/access/@scope,0.42,0.3,0.2,0.15,0.42,0.33,0.42,0.13,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/access/@system,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.0,1.0
/eml:eml/access/allow/permission,1.61,1.8,1.84,1.7,1.92,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/access/allow/principal,1.61,1.8,1.84,1.7,1.92,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/additionalMetadata/metadata/localtags/featuredDataGroup,0.1,0.16,0.0,0.6,0.65,0.0,0.0,0.03,0.0,0.0,0.14,0.17,0.09,0.11
/eml:eml/additionalMetadata/metadata/localtags/modDatetime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.62,0.5,0.53
/eml:eml/additionalMetadata/metadata/localtags/projectId,0.32,0.08,0.16,0.55,0.3,0.0,0.5,0.5,0.14,0.1,0.5,0.46,0.56,0.46
/eml:eml/additionalMetadata/metadata/localtags/researchTheme,0.13,0.32,0.32,0.3,0.52,0.83,0.0,0.34,0.0,0.0,0.19,0.18,0.15,0.14
/eml:eml/additionalMetadata/metadata/localtags/system,0.59,0.76,0.88,0.85,0.76,0.83,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/localtags/test,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01
/eml:eml/additionalMetadata/metadata/localtags/weight,0.59,0.76,0.88,0.85,0.76,0.83,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/@convention,0.38,0.24,0.16,0.15,0.33,0.0,0.17,0.12,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,1.35,0.48,0.84,0.55,1.33,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,2.61,1.4,3.4,2.9,3.38,0.0,1.5,4.33,0.43,0.73,3.43,3.32,3.96,3.99
/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,1.35,0.48,0.84,0.55,1.33,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/@convention,0.17,0.06,0.08,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@constantToSI,0.68,0.12,0.36,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@id,0.69,0.12,0.36,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/additionalMetadata/stmml:unitList/stmml:unit/@multiplierToSI,0.68,0.12,0.36,0.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@id,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/@scope,0.62,0.4,0.28,0.3,0.45,0.33,0.42,0.13,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/@system,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/abstract/para,1.15,16.48,2.0,5.3,1.83,2.0,1.08,1.27,2.0,4.3,2.99,3.87,1.39,2.55
/eml:eml/dataset/abstract/para/emphasis,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.21,0.11,0.02,0.12
/eml:eml/dataset/abstract/para/literalLayout,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
/eml:eml/dataset/abstract/para/orderedlist/listitem/para,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.66,0.0,0.37
/eml:eml/dataset/abstract/section/para,0.25,0.18,0.24,0.4,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/para/emphasis,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
/eml:eml/dataset/abstract/section/section/para,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
