Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2005.0,1.1.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0
2005.0,1.10.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.11.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.13.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.14.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.15.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.16.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.18.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.3.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0
2005.0,1.4.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0
2005.0,1.5.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0
2005.0,1.6.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
2005.0,1.7.xml,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,0.0,0.0
