Concept,Collection,ConceptCount,RecordCount,AverageOccurancePerRecord,CollectionOccurance%
Number of Records,d_c,117,117,1.00,100.00%
Abstract,d_c,117,117,1.00,100.00%
Acknowledgement,d_c,191,115,1.63,98.29%
Address,d_c,592,117,5.06,100.00%
AssociatedDIFs,d_c,261,117,2.23,100.00%
Association,d_c,261,117,2.23,100.00%
Attribute Definition,d_c,4132,117,35.32,100.00%
Attribute Label,d_c,4385,117,37.48,100.00%
Author / Originator,d_c,125,117,1.07,100.00%
Bounding Box,d_c,88,88,0.75,75.21%
Cited Resource Identifier,d_c,2,2,0.02,1.71%
Cited Resource Title,d_c,1700,117,14.53,100.00%
City,d_c,591,117,5.05,100.00%
Contact Instructions,d_c,468,117,4.00,100.00%
Country,d_c,579,117,4.95,100.00%
Data Quality Scope,d_c,117,117,1.00,100.00%
DataType,d_c,1954,117,16.70,100.00%
DimensionsName,d_c,4385,117,37.48,100.00%
Distribution Contact,d_c,117,117,1.00,100.00%
Easternmost Longitude,d_c,88,88,0.75,75.21%
Email,d_c,589,117,5.03,100.00%
End Time,d_c,9,9,0.08,7.69%
Enumerated Domain Value Definition Source,d_c,571,117,4.88,100.00%
Fax,d_c,468,117,4.00,100.00%
Feature Catalogue Citation,d_c,234,117,2.00,100.00%
First Name,d_c,408,117,3.49,100.00%
Geographic Description,d_c,117,117,1.00,100.00%
Hours of Service,d_c,468,117,4.00,100.00%
Instrument,d_c,268,103,2.29,88.03%
Instrument Keyword,d_c,268,103,2.29,88.03%
Instrument Keyword Vocabulary,d_c,103,103,0.88,88.03%
Instrument Short Name,d_c,242,103,2.07,88.03%
Instrument Type,d_c,242,103,2.07,88.03%
Keyword,d_c,4230,117,36.15,100.00%
Keyword Type,d_c,571,117,4.88,100.00%
Keyword Vocabulary,d_c,571,117,4.88,100.00%
Keyword Vocabulary Citation,d_c,571,117,4.88,100.00%
Last Name,d_c,408,117,3.49,100.00%
Metadata Access Constraints,d_c,117,117,1.00,100.00%
Metadata Association,d_c,261,117,2.23,100.00%
Metadata Contact,d_c,117,117,1.00,100.00%
Metadata Dates,d_c,117,117,1.00,100.00%
Metadata Identifier,d_c,117,117,1.00,100.00%
Metadata Language,d_c,117,117,1.00,100.00%
Metadata Modified Date,d_c,117,117,1.00,100.00%
Metadata Standard Citation,d_c,117,117,1.00,100.00%
Metadata Standard Version,d_c,117,117,1.00,100.00%
Middle Name,d_c,408,117,3.49,100.00%
Name,d_c,4385,117,37.48,100.00%
Naming Authority,d_c,2,2,0.02,1.71%
Northernmost Latitude,d_c,88,88,0.75,75.21%
Online Resource,d_c,536,117,4.58,100.00%
Online Resource Description,d_c,419,117,3.58,100.00%
Online Resource Name/Title,d_c,261,117,2.23,100.00%
Organization Name,d_c,876,117,7.49,100.00%
Other Citation Details,d_c,234,117,2.00,100.00%
Paleo Temporal Coverage,d_c,9,9,0.08,7.69%
Party,d_c,2296,117,19.62,100.00%
Phone,d_c,586,117,5.01,100.00%
Place Keyword,d_c,117,117,1.00,100.00%
Place Keyword Vocabulary,d_c,117,117,1.00,100.00%
Platform Short Name,d_c,118,117,1.01,100.00%
Position Name,d_c,117,117,1.00,100.00%
Postal_Code,d_c,587,117,5.02,100.00%
Process Step,d_c,225,117,1.92,100.00%
Process Step Description,d_c,225,117,1.92,100.00%
Product Link,d_c,116,116,0.99,99.15%
Project Name,d_c,144,117,1.23,100.00%
Province or State,d_c,588,117,5.03,100.00%
Publication Date,d_c,119,117,1.02,100.00%
Publication Information,d_c,117,117,1.00,100.00%
Range Domain Units,d_c,1092,117,9.33,100.00%
Related Resource Citation,d_c,261,117,2.23,100.00%
Related Resource Identifier,d_c,667,117,5.70,100.00%
Reprocessing Plan Note,d_c,117,117,1.00,100.00%
Resource Access Constraints,d_c,234,117,2.00,100.00%
Resource Contact,d_c,125,117,1.07,100.00%
Resource Creation/Revision Date,d_c,117,117,1.00,100.00%
Resource Identifier,d_c,2,2,0.02,1.71%
Resource Language,d_c,117,117,1.00,100.00%
Resource Lineage,d_c,117,117,1.00,100.00%
Resource Long Name,d_c,117,117,1.00,100.00%
Resource Status,d_c,117,117,1.00,100.00%
Resource Title,d_c,117,117,1.00,100.00%
Resource Type,d_c,117,117,1.00,100.00%
Resource Update Frequency,d_c,117,117,1.00,100.00%
Resource Use Constraints,d_c,117,117,1.00,100.00%
Responsibility,d_c,1962,117,16.77,100.00%
Rights,d_c,117,117,1.00,100.00%
Role,d_c,819,117,7.00,100.00%
Southernmost Latitude,d_c,88,88,0.75,75.21%
Spatial Extent,d_c,88,88,0.75,75.21%
Standard Name Vocabulary,d_c,571,117,4.88,100.00%
Start Time,d_c,9,9,0.08,7.69%
Temporal Extent,d_c,117,117,1.00,100.00%
Theme Keyword,d_c,3106,117,26.55,100.00%
Topic Category,d_c,118,117,1.01,100.00%
URL,d_c,116,116,0.99,99.15%
Units,d_c,4385,117,37.48,100.00%
Unknown,d_c,73002,117,623.95,100.00%
VariableType,d_c,117,117,1.00,100.00%
Web Page,d_c,887,117,7.58,100.00%
Westernmost Longitude,d_c,88,88,0.75,75.21%
